Province,Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,new_product_sales_revenue
江苏省,2004,,2990.0,11330,,2990.0,7110.0,23532,,1457350.0,,5570009.0,1530561.0,,69654.0,89.79,14823.1,,27638099.0
江苏省,2005,18.27,,13580,,,,34811,,,,6653202.0,,,,100.83,18121.3,,
江苏省,2006,19.06,,19352,,,,53267,,,,6845888.0,,,,68.83,21240.8,,
江苏省,2007,21.76,,31770,68.73,,,88950,,,68.73,8513327.0,,,,78.42,25988.4,,
江苏省,2008,22.12,9680.0,44438,91.52,9680.0,21901.0,128002,9.4,6197076.0,91.52,9964272.0,4808289.0,9.4,155781.0,94.02,30945.5,2679.0,72434173.0
江苏省,2009,22.88,14156.0,87286,117.02,14156.0,40043.0,174329,9.8,6919176.0,117.02,11054890.0,5707105.0,9.8,222625.0,108.22,34471.7,2786.0,85236348.0
江苏省,2010,25.31,,138382,150.35,,,235873,10.9,,150.35,13146233.0,,10.9,,249.34,41383.9,2819.0,
江苏省,2011,24.05,26720.0,199814,213.4,26720.0,72763.0,348381,12.0,11824447.0,213.4,15882132.0,8998944.0,12.0,287447.0,333.43,48839.2,2824.0,148421107.0
江苏省,2012,24.03,45120.0,269944,257.24,45120.0,84876.0,472656,12.8,14945123.0,257.24,,10803107.0,12.8,342262.0,400.91,53701.9,2786.0,178454188.0
江苏省,2013,24.45,52718.0,239645,302.59,52718.0,93518.0,504500,19.2,16693195.0,302.59,19862835.0,12395745.0,19.2,393942.0,527.5,59349.4,2814.0,197142112.0
江苏省,2014,25.06,73252.0,200032,327.1,73252.0,115616.0,421907,21.5,17649058.0,327.1,20800931.0,13765378.0,21.5,422865.0,543.16,64830.5,2858.0,235409275.0
江苏省,2015,25.6,85485.0,250290,371.96,85485.0,119927.0,428337,21.8,17117386.0,371.96,22463773.0,15065065.0,21.8,441304.0,572.92,71255.9,2896.0,244632694.0
江苏省,2016,26.88,117912.0,231033,381.02,117912.0,131284.0,512429,21.8,19090345.0,381.02,24020855.0,16575418.0,21.8,451885.0,635.64,77350.9,2937.0,280846698.0
江苏省,2017,26.74,140346.0,227187,428.01,140346.0,124980.0,514402,22.0,21506492.0,428.01,25960645.0,18338832.0,22.0,455468.0,778.42,85869.8,3045.0,285790192.0
江苏省,2018,27.18,176120.0,306996,507.31,176120.0,165096.0,600306,21.8,24680855.0,507.31,28276374.0,20245195.0,21.8,455530.0,991.45,93207.6,3143.0,284250383.0
江苏省,2019,27.43,180893.0,314395,572.04,180893.0,175906.0,594249,27.3,27013149.0,572.04,31093313.0,22061581.0,27.3,508375.0,1471.52,98656.8,3311.0,301019390.0
江苏省,2020,28.3,224512.0,499167,584.39,224512.0,196799.0,719452,26.6,28223651.0,584.39,33717331.0,23816885.0,26.6,538781.0,2087.85,102807.7,3653.0,394428431.0
江苏省,2021,28.73,242423.0,640917,671.59,242423.0,207371.0,696693,27.2,33574354.0,671.59,37333811.0,27166319.0,27.2,612676.0,2606.17,117392.4,3531.0,426223729.0
江苏省,2022,30.01,299124.0,560127,678.32,299124.0,218368.0,662509,28.1,38132096.0,678.32,,29936774.0,28.1,655930.0,2986.78,122875.6,3726.0,511183110.0
上海市,2004,,1094.0,10625,,1094.0,5414.0,20471,,1140386.0,,3832691.0,927730.0,,21854.0,171.7,8101.6,,28221766.0
上海市,2005,7.39,,12603,,,,32741,,,,4229482.0,,,,231.73,9197.1,,
上海市,2006,8.03,,16602,,,,36042,,,,3707275.0,,,,309.51,10598.9,,
上海市,2007,8.7,,24481,105.77,,,47205,,,105.77,4318320.0,,,,354.89,12878.7,,
上海市,2008,8.71,3111.0,24468,120.27,3111.0,8288.0,52835,18.1,2038746.0,120.27,4823026.0,2005734.0,18.1,43815.0,386.17,14536.9,4371.0,48948483.0
上海市,2009,9.03,9668.0,34913,215.31,9668.0,15472.0,62241,20.9,2991877.0,215.31,4937339.0,2365150.0,20.9,67420.0,435.41,15742.4,4393.0,54440825.0
上海市,2010,9.12,,48215,202.03,,,71196,23.2,,202.03,5582736.0,,23.2,,431.44,17915.4,4300.0,
上海市,2011,8.73,12530.0,47960,218.5,12530.0,19365.0,80215,12.4,4476248.0,218.5,7106255.0,3437627.0,12.4,79147.0,480.75,20009.7,3556.0,77721952.0
上海市,2012,8.96,16805.0,51508,245.43,16805.0,24873.0,82682,12.2,4840036.0,245.43,,3715075.0,12.2,82355.0,518.75,21305.6,3481.0,73999056.0
上海市,2013,9.02,20140.0,48680,257.66,20140.0,25738.0,86450,20.4,5282586.0,257.66,9069715.0,4047800.0,20.4,92136.0,531.68,23204.1,3421.0,76883835.0
上海市,2014,8.84,27540.0,50488,262.29,27540.0,26848.0,81664,22.5,5875497.0,262.29,9892212.0,4492192.0,22.5,93868.0,592.45,25269.8,3348.0,84469638.0
上海市,2015,8.92,30815.0,60623,271.85,30815.0,21725.0,100006,22.5,5716228.0,271.85,10131153.0,4742443.0,22.5,94981.0,663.78,26887.0,3330.0,74709344.0
上海市,2016,9.31,37513.0,64230,341.71,37513.0,24228.0,119937,23.2,6227654.0,341.71,11218946.0,4900778.0,23.2,98671.0,780.99,29887.0,3327.0,90334750.0
上海市,2017,9.51,43416.0,72806,389.9,43416.0,27581.0,131740,24.6,6787046.0,389.9,12104556.0,5399953.0,24.6,88967.0,810.62,32925.0,3498.0,100681518.0
