地区,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
北京市,,32594,28221,25147,22552,20655,19653,20065,20024,19916,19210,20189,13041,,7016,7124,,,,2330
天津市,,18488,18952,19033,15634,15051,15770,17170,16721,16832,16302,13173,11889,,7162,5227,,,,3198
河北省,,33789,30171,24815,21570,16707,13855,13189,10396,9929,9171,7841,5771,,3190,1855,,,,1205
山西省,,9827,10152,8444,6201,5423,4398,3786,3569,4723,5083,3765,2848,,1798,1238,,,,320
内蒙古自治区,,9065,7722,5755,5064,3769,3796,2970,2585,2269,2062,1650,1250,,1050,673,,,,397
辽宁省,,21581,20104,17790,13783,12485,11206,9709,9190,12098,11628,9958,8363,,6402,3678,,,,1230
吉林省,,12612,7949,6476,6256,3333,2894,2655,1972,2370,2520,2195,2030,,1433,867,,,,487
黑龙江省,,6551,6691,5963,4449,2764,3786,4127,3902,4267,4282,3690,2814,,1797,1320,,,,861
上海市,,42835,41431,40630,35326,29258,27581,24228,21725,26848,25738,24873,19365,,15472,8288,,,,5414
江苏省,,218368,207371,196799,175906,165096,124980,131284,119927,115616,93518,84876,72763,,40043,21901,,,,7110
浙江省,,171872,159920,138589,114326,100254,85639,78729,80512,77135,77067,68003,52207,,46402,33652,,,,9849
安徽省,,81620,75058,66677,55520,56596,52916,49791,45598,40244,32909,26665,19214,,8504,4490,,,,1078
福建省,,57792,51551,45774,37196,31529,31433,28208,24916,22078,18896,14745,11272,,8075,3246,,,,1308
江西省,,32595,32350,30838,27813,26303,19383,12594,8561,6825,4893,3015,2363,,1398,756,,,,296
山东省,,113621,98190,78928,57339,60928,55881,45921,42289,44466,40030,34689,27560,,18441,14276,,,,4884
河南省,,47069,45391,38206,30397,27603,22367,17457,16518,16505,14400,12503,10186,,7551,5244,,,,1827
湖北省,,59771,54807,44035,35149,28003,22244,19574,17315,16839,16321,12592,9893,,7899,3650,,,,1127
湖南省,,43973,40576,36209,30900,26339,21319,18249,18175,17919,17424,16204,12808,,7790,3204,,,,1719
广东省,,354470,340935,305665,272616,241700,199293,145448,106038,114447,96646,87143,72520,,54922,38958,,,,11728
广西壮族自治区,,11637,11641,7546,6373,6239,5428,5555,4613,4840,4468,3025,2069,,1322,1072,,,,755
海南省,,1567,1613,926,734,576,443,508,441,706,748,623,386,,289,156,,,,43
重庆市,,26245,22240,19736,16650,18049,17269,17511,20239,12908,12221,9784,8121,,5567,4490,,,,2918
四川省,,41462,41236,34536,29678,26277,26687,21685,21912,19661,15713,13443,5919,,4979,3096,,,,2448
贵州省,,9294,8372,7227,6919,5976,5344,4341,3782,4051,3446,2794,2034,,1481,1049,,,,335
云南省,,11139,9467,9451,7611,6190,5389,4942,3751,3137,2793,2404,1728,,1049,625,,,,380
西藏自治区,,97,100,92,51,39,20,44,17,18,9,18,20,,24,22,,,,1
陕西省,,19071,16285,15187,12797,10182,9232,8142,7521,7354,7258,5467,4393,,2642,1756,,,,529
甘肃省,,5979,4645,3829,3393,3342,3102,2600,2230,2558,2440,1713,1053,,693,854,,,,227
青海省,,1423,1354,1423,1088,859,729,612,305,384,334,215,168,,114,81,,,,73
宁夏回族自治区,,4725,3935,3774,2885,2205,1978,1757,1429,1160,1132,914,601,,357,266,,,,143
新疆维吾尔自治区,,6164,5181,4427,3632,3568,3022,2546,2340,2458,2256,1776,1426,,928,459,,,,349
