Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,1094.0,10625,,1094.0,5414.0,20471,,1140386.0,,3832691.0,927730.0,,21854.0,171.7,8101.6,,,28221766.0,52.993881118891295,175.8169069253854
2005,7.39,,12603,,,,32741,,,,4229482.0,,,,231.73,9197.1,,,,61.41531468532412,261.1852417
2006,8.03,,16602,,,,36042,,,,3707275.0,,,,309.51,10598.9,,47822.0,,69.83674825176058,200.0944519
2007,8.7,,24481,105.77,,,47205,,,105.77,4318320.0,,,,354.89,12878.7,,61501.0,,78.2581818181934,49.58934784
2008,8.71,3111.0,24468,120.27,3111.0,8288.0,52835,18.1,2038746.0,120.27,4823026.0,2005734.0,18.1,43815.0,386.17,14536.9,4371.0,75642.0,48948483.0,94.29,22.07696342
2009,9.03,9668.0,34913,215.31,9668.0,15472.0,62241,20.9,2991877.0,215.31,4937339.0,2365150.0,20.9,67420.0,435.41,15742.4,4393.0,76108.0,54440825.0,94.6,47.22387695
2010,9.12,,48215,202.03,,,71196,23.2,,202.03,5582736.0,,23.2,,431.44,17915.4,4300.0,83338.0,,99.37,202.4058685
2011,8.73,12530.0,47960,218.5,12530.0,19365.0,80215,12.4,4476248.0,218.5,7106255.0,3437627.0,12.4,79147.0,480.75,20009.7,3556.0,120307.0,77721952.0,107.44,368.3013916
2012,8.96,16805.0,51508,245.43,16805.0,24873.0,82682,12.2,4840036.0,245.43,,3715075.0,12.2,82355.0,518.75,21305.6,3481.0,129633.0,73999056.0,116.34,125.5246506
2013,9.02,20140.0,48680,257.66,20140.0,25738.0,86450,20.4,5282586.0,257.66,9069715.0,4047800.0,20.4,92136.0,531.68,23204.1,3421.0,141766.0,76883835.0,123.77,115.5012817
2014,8.84,27540.0,50488,262.29,27540.0,26848.0,81664,22.5,5875497.0,262.29,9892212.0,4492192.0,22.5,93868.0,592.45,25269.8,3348.0,152258.0,84469638.0,131.4,41.4438591
2015,8.92,30815.0,60623,271.85,30815.0,21725.0,100006,22.5,5716228.0,271.85,10131153.0,4742443.0,22.5,94981.0,663.78,26887.0,3330.0,158906.0,74709344.0,152.13,117.7164841
2016,9.31,37513.0,64230,341.71,37513.0,24228.0,119937,23.2,6227654.0,341.71,11218946.0,4900778.0,23.2,98671.0,780.99,29887.0,3327.0,163297.0,90334750.0,165.82,128.4771423
2017,9.51,43416.0,72806,389.9,43416.0,27581.0,131740,24.6,6787046.0,389.9,12104556.0,5399953.0,24.6,88967.0,810.62,32925.0,3498.0,176383.0,100681518.0,169.04,80.68917847
2018,9.58,47940.0,92460,426.37,47940.0,29258.0,150233,26.9,7558012.0,426.37,13412840.0,5548768.0,26.9,88016.0,1225.19,36011.8,3517.0,191018.0,97967290.0,178.47,94.98766817922296
2019,9.57,53559.0,100587,389.54,53559.0,35326.0,173586,36.2,8516190.0,389.54,14125408.0,5906504.0,36.2,80694.0,1422.35,37987.6,3582.0,184920.0,101409491.0,163.3,89.21415112592513
2020,9.82,62147.0,139780,406.2,62147.0,40630.0,210293,32.1,8689077.0,406.2,14427631.0,6350087.0,32.1,87957.0,1583.22,38963.3,3722.0,217700.0,101592157.0,187.73681818182376,83.44063407262729
2021,9.82,66509.0,179317,422.7,66509.0,41431.0,232918,35.8,10765301.0,422.7,15764758.0,6983293.0,35.8,93966.0,2545.49,43653.2,3691.0,236279.0,105748814.0,196.1582517482566,77.66711701932945
2022,10.04,81347.0,178323,386.25,81347.0,42835.0,224409,38.4,11394201.0,386.25,,7659941.0,38.4,100972.0,3870.73,44652.8,3756.0,262216.0,107853308.0,204.57968531469305,71.89359996603343
