Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,197.0,1264,,197.0,380.0,2132,,61497.0,,1750841.0,43881.0,,3978.0,21.56,3136.4,,,739428.0,20.55850815850832,122.2379913
2005,4.33,,1381,,,,2556,,,,1985088.0,,,,15.92,3497.7,,,,20.688752913753063,189.161972
2006,4.8,,1637,,,,3085,,,,2311083.0,,,,8.27,4090.7,,20422.0,,20.81899766899781,73.34391022
2007,5.16,,2139,13.06,,,3108,,,13.06,2757505.0,,,,9.75,5077.4,,23564.0,,20.94924242424256,45.13530731
2008,5.85,623.0,2021,17.67,623.0,625.0,4089,6.1,171099.0,17.67,3422932.0,131583.0,6.1,8203.0,5.05,6016.6,1174.0,26264.0,3091636.0,20.07,70.52397156
2009,6.74,807.0,2923,18.99,807.0,1049.0,4633,6.4,261718.0,18.99,4408081.0,151147.0,6.4,6790.0,10.25,6574.4,1298.0,30110.0,2739668.0,20.64,77.13363647
2010,7.78,,3823,21.43,,,5645,6.2,,21.43,5336317.0,,6.2,,10.88,7735.3,1391.0,34588.0,,21.43,89.66098022
2011,9.06,1208.0,4199,28.3,1208.0,1728.0,7150,6.4,390303.0,28.3,6582935.0,299279.0,6.4,10335.0,11.71,9523.1,1520.0,42284.0,3808209.0,17.1,66.48766327
2012,8.77,1644.0,5853,32.67,1644.0,2404.0,9260,7.8,396302.0,32.67,,384430.0,7.8,12321.0,45.48,11097.4,1566.0,43722.0,4468160.0,22.22,69.63764191
2013,9.92,2280.0,6804,42.59,2280.0,2793.0,11512,9.2,496845.0,42.59,9006912.0,454278.0,9.2,11811.0,42.0,12825.5,1662.0,48879.0,4433810.0,23.11,87.53321075
2014,9.6,2865.0,8124,43.15,2865.0,3137.0,13343,10.1,605668.0,43.15,9199396.0,516572.0,10.1,12980.0,47.92,14041.7,1731.0,53229.0,5182591.0,26.19,89.09380341
2015,9.7,4605.0,11658,48.56,4605.0,3751.0,17603,10.0,631962.0,48.56,10455388.0,619588.0,10.0,16381.0,51.84,14960.0,1819.0,64270.0,5132031.0,25.07,60.41246796
2016,10.06,5880.0,12032,46.86,5880.0,4942.0,23709,10.1,884333.0,46.86,11886446.0,741847.0,10.1,17166.0,58.26,16369.0,1889.0,73883.0,6284487.0,23.55,51.67253876
2017,10.32,6510.0,14230,53.42,6510.0,5389.0,28695,10.4,1026693.0,53.42,13292088.0,885588.0,10.4,21393.0,84.76,18486.0,1999.0,84202.0,8086166.0,21.74,38.87081146
2018,10.49,6466.0,20340,54.94,6466.0,6190.0,36515,9.9,965427.0,54.94,14543783.0,1070172.0,9.9,24048.0,89.49,20880.6,2166.0,94132.0,9288303.0,23.5,25.15884430051483
2019,10.82,10131.0,22324,59.0,10131.0,7611.0,35212,9.4,1227702.0,59.0,14833632.0,1297741.0,9.4,29440.0,82.7,23223.8,2401.0,104725.0,9395451.0,16.93,17.1860692257178
2020,11.37,9515.0,28943,64.94,9515.0,9451.0,45153,9.6,1153684.0,64.94,16571342.0,1451454.0,9.6,28894.0,49.95,24555.7,2648.0,112615.0,12160954.0,22.64242424242425,9.213294150918957
2021,11.51,11021.0,41167,61.85,11021.0,9467.0,47997,9.6,1374209.0,61.85,16694079.0,1764956.0,9.6,28234.0,106.1,27161.6,2871.0,119189.0,12055832.0,22.772668997669,1.2405190761201084
2022,12.36,14054.0,39497,58.97,14054.0,11139.0,52999,9.3,1562594.0,58.97,,1986681.0,9.3,27950.0,218.95,28954.2,3097.0,122950.0,16313423.0,22.902913752913747,-6.732255998678738
