Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,189.0,831,,189.0,397.0,1457,,40711.0,,1115216.0,49782.0,,5579.0,10.41,2942.4,,,2643012.0,10.966363636368442,89.00912476
2005,3.02,,845,,,,1455,,,,1293432.0,,,,10.99,3523.7,,,,14.42727272727734,75.05431366
2006,3.51,,978,,,,1946,,,,1480999.0,,,,10.71,4161.8,,23721.0,,17.88818181818624,55.01266098
2007,4.15,,1313,9.22,,,2015,,,9.22,2019987.0,,,,10.98,5166.9,,28080.0,,21.34909090909514,58.89866638
2008,4.56,288.0,1328,15.36,288.0,673.0,2221,4.2,203699.0,15.36,2625527.0,291985.0,4.2,11752.0,9.44,6242.4,1650.0,31047.0,3439675.0,26.18,58.23931122
2009,5.16,422.0,1494,18.07,422.0,1050.0,2484,4.2,267573.0,18.07,3187733.0,390612.0,4.2,12307.0,14.77,7104.2,1794.0,35184.0,3340301.0,27.43,51.67787933
2010,5.57,,2096,21.39,,,2912,4.3,,21.39,4143731.0,,4.3,,27.15,8199.9,1884.0,40047.0,,30.99,53.0760231
2011,5.52,467.0,2262,28.21,467.0,1250.0,3841,4.4,534739.0,28.21,5040005.0,701635.0,4.4,17645.0,22.67,9458.1,1920.0,45750.0,5188902.0,36.89,136.8858948
2012,5.62,922.0,3084,27.61,922.0,1650.0,4732,4.9,529251.0,27.61,,858477.0,4.9,21509.0,106.1,10470.1,2042.0,48062.0,5814946.0,40.68,204.2150116
2013,5.84,1444.0,3836,31.64,1444.0,2062.0,6388,6.1,619217.0,31.64,6121559.0,1004406.0,6.1,26990.0,38.74,11392.4,2137.0,56780.0,6285040.0,42.95,139.7020416
2014,5.85,1660.0,4031,32.87,1660.0,2269.0,6359,6.2,688680.0,32.87,6393778.0,1080287.0,6.2,27068.0,13.94,12158.2,2156.0,60716.0,5573230.0,42.64,150.2648163
2015,5.96,2175.0,5522,35.72,2175.0,2585.0,8876,6.3,640669.0,35.72,7072130.0,1186261.0,6.3,29190.0,15.39,12949.0,2035.0,62973.0,6648406.0,46.87,130.8959045
2016,6.26,3103.0,5846,32.38,3103.0,2970.0,10672,5.9,727898.0,32.38,7624806.0,1279853.0,5.9,30126.0,12.05,13789.3,1937.0,65192.0,7796103.0,48.85,108.1842651
2017,6.24,3837.0,6271,33.67,3837.0,3796.0,11701,6.0,672557.0,33.67,7601337.0,1082640.0,6.0,23243.0,19.61,14898.1,1969.0,71086.0,11244704.0,56.79,76.54681396
2018,6.28,3909.0,9625,26.05,3909.0,3769.0,16426,5.6,710278.0,26.05,7759014.0,1033594.0,5.6,15777.0,19.84,16140.8,1984.0,80623.0,10282645.0,59.28,128.70519518644505
2019,6.32,5491.0,11059,28.49,5491.0,5064.0,21069,7.0,925345.0,28.49,8105720.0,1183625.0,7.0,15001.0,22.48,17212.5,2053.0,88303.0,11274431.0,66.59,132.23576396346652
2020,6.35,5799.0,17958,32.38,5799.0,5755.0,26224,6.3,1008454.0,32.38,8510492.0,1293714.0,6.3,18393.0,35.95,17258.0,2127.0,86557.0,12424598.0,66.34090909091265,135.7663327404889
2021,6.38,6847.0,24362,35.28,6847.0,7722.0,29462,5.9,1492892.0,35.28,8595861.0,1547744.0,5.9,15433.0,41.15,21166.0,2351.0,92225.0,16554915.0,69.80181818182155,139.29690151751038
2022,6.44,7911.0,24640,42.99,7911.0,9065.0,32921,5.6,1755523.0,42.99,,1708541.0,5.6,24931.0,51.3,23158.6,2493.0,103090.0,31474555.0,73.26272727273044,142.82747029453276
