Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,2367.0,9005,,2367.0,2330.0,18402,,364608.0,,4492628.0,602546.0,,29998.0,425.0,6252.5,,,11052142.0,68.71367132867636,27.16124916
2005,11.15,,10100,,,,22572,,,,5227188.0,,,,489.59,7149.8,,,,73.73381118881662,50.97663498
2006,11.14,,11238,,,,26555,,,,3374329.0,,,,697.33,8387.0,,50853.0,,78.75395104895688,45.60201263
2007,11.4,,14954,90.74,,,31680,,,90.74,4077284.0,,,,882.56,10425.5,,62230.0,,83.77409090909532,58.38241577
2008,11.37,5618.0,17747,112.19,5618.0,7124.0,43508,40.1,1049977.0,112.19,4690166.0,1010862.0,40.1,43209.0,1027.22,11813.1,6750.0,71895.0,30589115.0,90.2,55.74375916
2009,11.85,5168.0,22921,126.31,5168.0,7016.0,50236,43.8,1417379.0,126.31,5289432.0,1137030.0,43.8,41546.0,1236.25,12900.9,6410.0,77632.0,28314951.0,91.63,73.88547516
2010,11.98,,33511,178.92,,,57296,45.7,,178.92,6134448.0,,45.7,,1579.54,14964.0,6196.0,88018.0,,92.17,56.85085678
2011,12.04,7342.0,40888,183.07,7342.0,13041.0,77955,50.6,2135861.0,183.07,7373843.0,1648538.0,50.6,49829.0,1890.28,17188.8,5613.0,97658.0,34803252.0,103.38,97.67198944
2012,12.27,14051.0,50511,199.94,14051.0,20189.0,92305,54.0,2527103.0,199.94,,1973442.0,54.0,53510.0,2458.5,19024.7,5534.0,106604.0,33176311.0,111.47,229.4649506
2013,12.53,16402.0,62671,234.67,16402.0,19210.0,123336,59.7,2931908.0,234.67,9998366.0,2130618.0,59.7,58036.0,2851.72,21134.6,5469.0,113206.0,36727656.0,113.53,284.1075134
2014,12.53,18721.0,74661,282.71,18721.0,19916.0,138111,59.8,2971203.0,282.71,10937374.0,2335010.0,59.8,57761.0,3137.19,22926.0,5429.0,124123.0,42470008.0,118.61,246.0662231
2015,12.63,23749.0,94031,287.8,23749.0,20024.0,156312,59.3,3053943.0,287.8,11171250.0,2440875.0,59.3,50773.0,3453.89,24779.1,5218.0,132339.0,35640401.0,131.45,165.4047089
2016,12.77,28290.0,100578,285.78,28290.0,20065.0,189129,69.0,3226374.0,285.78,11934724.0,2548433.0,69.0,51143.0,3940.98,27041.2,5028.0,139990.0,40858562.0,135.35,47.85101318
2017,12.82,34497.0,106948,361.76,34497.0,19653.0,185928,71.2,3454456.0,361.76,12512746.0,2690851.0,71.2,52719.0,4486.89,29883.0,5300.0,150611.0,41192831.0,134.66,68.1627655
2018,13.01,42851.0,123496,425.87,42851.0,20655.0,211212,71.7,3602685.0,425.87,13525400.0,2740103.0,71.7,46929.0,4957.82,33106.0,5268.0,170139.0,41366175.0,144.09,166.25477641144423
2019,13.09,48656.0,131716,433.42,48656.0,22552.0,226113,68.9,4244502.0,433.42,14794780.0,2851859.0,68.9,44241.0,5695.28,35445.1,5320.0,196767.0,52201988.0,130.32,173.39515533978192
2020,13.48,55261.0,162824,410.96,55261.0,25147.0,254165,58.2,4523146.0,410.96,15085043.0,2974157.0,58.2,46172.0,6316.16,35943.3,5393.0,200894.0,53449397.0,149.03590909091326,180.5355342681214
2021,13.63,70538.0,198778,449.45,70538.0,28221.0,283134,61.2,6066577.0,449.45,15325981.0,3135144.0,61.2,41496.0,7005.65,41045.6,5313.0,215797.0,82529591.0,154.0560489510517,187.67591319645908
2022,14.0,77167.0,202722,488.7,77167.0,32594.0,307175,62.4,6503315.0,488.7,,3489973.0,62.4,53459.0,7947.51,41610.9,5397.0,230803.0,56037315.0,159.07618881119197,194.81629212479857
