Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,204.0,2145,,204.0,487.0,3657,,95138.0,,1454419.0,124848.0,,5074.0,10.79,2455.2,,,1563069.0,11.88973193473339,104.9140472
2005,8.9,,2023,,,,4101,,,,1742325.0,,,,12.23,2776.5,,,,13.491689976691305,109.7509079
2006,8.6,,2319,,,,4578,,,,1724213.0,,,,15.37,3226.5,,19956.0,,15.093648018649674,77.70635223
2007,9.41,,2855,11.09,,,5251,,,11.09,2133095.0,,,,17.48,4080.3,,26013.0,,16.695606060607588,108.8385239
2008,9.85,480.0,2984,13.41,480.0,867.0,5536,6.3,494772.0,13.41,2714195.0,267007.0,6.3,9470.0,19.61,4834.7,2659.0,30112.0,12104628.0,20.31,84.39645386
2009,10.62,993.0,3275,18.98,993.0,1433.0,5934,6.4,374768.0,18.98,3006988.0,329615.0,6.4,14671.0,19.76,5434.8,2695.0,33927.0,28925805.0,21.37,107.928093
2010,10.75,,4343,19.12,,,6445,6.7,,19.12,3445611.0,,6.7,,18.81,6410.5,2716.0,38732.0,,18.19,85.81639862
2011,11.11,1006.0,4920,21.18,1006.0,2030.0,8196,6.8,709348.0,21.18,4293877.0,488723.0,6.8,17884.0,26.26,7734.6,2807.0,46102.0,24075631.0,20.21,73.60977173
2012,11.55,2779.0,5930,24.96,2779.0,2195.0,9171,7.6,776269.0,24.96,,604326.0,7.6,24365.0,25.12,8678.0,2889.0,49835.0,21577965.0,24.1,118.4381332
2013,11.57,2985.0,6219,37.22,2985.0,2520.0,10751,8.0,740849.0,37.22,5480347.0,698136.0,8.0,23709.0,34.72,9427.9,3033.0,49805.0,7031878.0,26.78,105.5281219
2014,11.42,1884.0,6696,36.45,1884.0,2370.0,11933,7.9,783328.0,36.45,5353180.0,789431.0,7.9,24395.0,28.58,9966.5,3168.0,53062.0,16599926.0,29.67,82.41946411
2015,11.78,2649.0,8878,41.39,2649.0,1972.0,14800,7.5,1167919.0,41.39,5975239.0,861541.0,7.5,23202.0,26.47,10018.0,3169.0,59844.0,18227484.0,31.48,80.24269104
2016,11.88,3395.0,9995,41.01,3395.0,2655.0,18922,7.6,1243953.0,41.01,6439837.0,908602.0,7.6,23469.0,116.42,10427.0,3048.0,62900.0,26276146.0,31.72,104.2610016
2017,11.83,3518.0,11090,46.84,3518.0,2894.0,20450,7.7,1171236.0,46.84,6586685.0,749958.0,7.7,21056.0,219.92,10922.0,3038.0,66857.0,27746957.0,32.83,89.98912048
2018,12.01,4612.0,13885,41.1,4612.0,3333.0,27034,7.3,1078717.0,41.1,6866495.0,575015.0,7.3,11124.0,341.95,11253.8,3131.0,75661.0,13474958.0,33.1,83.96003399398569
2019,12.07,4853.0,15579,39.18,4853.0,6256.0,31052,7.8,1769661.0,39.18,6777422.0,684086.0,7.8,11849.0,474.13,11726.8,3373.0,82234.0,26275923.0,35.54,82.21624447189106
2020,12.21,6696.0,23951,39.94,6696.0,6476.0,34438,7.3,1788921.0,39.94,7204781.0,776448.0,7.3,11806.0,462.15,12256.0,3707.0,90778.0,22400315.0,37.52106060606138,80.47245494979597
2021,12.14,7109.0,29879,38.43,7109.0,7949.0,38807,6.9,1677694.0,38.43,7092031.0,858433.0,6.9,16124.0,108.15,13163.8,4550.0,100297.0,29551441.0,39.1230186480193,78.72866542770089
2022,12.95,8925.0,29534,22.38,8925.0,12612.0,42522,6.3,1829608.0,22.38,,926041.0,6.3,15297.0,36.95,13070.2,4989.0,107119.0,21770234.0,40.72497668997721,76.98487590560626
