Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,927.0,4430,,927.0,2448.0,7260,,288312.0,,3091287.0,277068.0,,22473.0,16.56,6304.0,,,5001408.0,16.498578088578824,111.2088699
2005,12.45,,4606,,,,10567,,,,3632254.0,,,,19.08,7195.9,,,,17.060920745921294,121.7103958
2006,12.58,,7138,,,,13109,,,,3654194.0,,,,25.93,8494.7,,29754.0,,17.62326340326399,81.21134949
2007,14.24,,9935,20.78,,,19165,,,20.78,5009787.0,,,,30.39,10562.1,,36394.0,,18.185606060606688,102.0927658
2008,15.21,1649.0,13369,25.82,1649.0,3096.0,24335,12.5,907911.0,25.82,6578338.0,681656.0,12.5,45137.0,43.53,12756.2,1637.0,42806.0,17982165.0,15.01,74.30741119
2009,16.68,2456.0,20132,28.64,2456.0,4979.0,33047,13.1,1142995.0,28.64,8088479.0,817664.0,13.1,44370.0,54.6,14190.6,1732.0,47858.0,21846719.0,16.97,78.72516632
2010,18.03,,32212,34.71,,,40230,13.6,,34.71,8951781.0,,13.6,,54.74,17224.8,1790.0,53854.0,,17.69,83.63172913
2011,17.38,5618.0,28446,45.75,5618.0,5919.0,49734,14.6,1485843.0,45.75,10244130.0,1044666.0,14.6,36839.0,67.83,21050.9,1904.0,63235.0,21003174.0,21.86,81.31188965
2012,18.13,6591.0,42218,59.4,6591.0,13443.0,66312,16.2,1782262.0,59.4,,1422310.0,16.2,50533.0,111.24,23922.4,2037.0,67113.0,20959773.0,23.74,103.190567
2013,18.28,9043.0,46171,69.51,9043.0,15713.0,82453,19.9,2135771.0,69.51,13805525.0,1688902.0,19.9,58148.0,148.58,26518.0,2140.0,76610.0,24758761.0,23.34,89.78116608
2014,18.5,15893.0,47120,81.76,15893.0,19661.0,91167,21.1,2347013.0,81.76,14508458.0,1960112.0,21.1,62145.0,199.05,28891.3,2244.0,80634.0,27112961.0,26.7,128.6720276
2015,20.59,17601.0,64953,96.69,17601.0,21912.0,110746,21.0,2145687.0,96.69,16409562.0,2238051.0,21.0,56841.0,282.32,30342.0,2312.0,86498.0,28924767.0,27.15,75.56231689
2016,21.82,24065.0,62445,101.09,24065.0,21685.0,142522,21.1,2523694.0,101.09,17620946.0,2572607.0,21.1,60146.0,299.3,33138.5,2314.0,91309.0,30447284.0,26.15,78.97433472
2017,22.51,32598.0,64006,106.57,32598.0,26687.0,167484,21.9,3107379.0,106.57,19274514.0,3010846.0,21.9,71968.0,405.83,37905.1,2339.0,101514.0,36830600.0,21.61,118.5892792
2018,23.02,35959.0,87372,147.91,35959.0,26277.0,152987,20.4,3931381.0,147.91,20767987.0,3423923.0,20.4,77848.0,996.7,42902.1,2409.0,124631.0,35763417.0,22.19,89.20092320477124
2019,23.52,39658.0,82066,184.95,39658.0,29678.0,131529,15.3,4030592.0,184.95,22547121.0,3878572.0,15.3,78289.0,1211.95,46363.8,2546.0,133828.0,42118322.0,19.68,88.10498501047823
2020,24.29,42114.0,108386,181.7,42114.0,34536.0,160036,20.4,4874121.0,181.7,24660021.0,4276383.0,20.4,90128.0,1244.59,48501.6,2754.0,128671.0,49699120.0,25.496060606061064,87.00904681618522
2021,24.54,48898.0,146936,273.12,48898.0,41236.0,163664,22.5,5720504.0,273.12,25912560.0,4801710.0,22.5,95650.0,1388.69,54088.0,2925.0,138545.0,61387535.0,26.05840326340376,85.9131086218922
2022,26.21,57722.0,135507,229.12,57722.0,41462.0,165499,24.5,6200605.0,229.12,,5300775.0,24.5,117859.0,1643.53,56749.8,3127.0,143430.0,68318949.0,26.620745920746455,84.8171704275992
