Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,807.0,2578,,807.0,3198.0,8406,,212066.0,,1239682.0,284454.0,,12124.0,45.03,2621.1,,,13557417.0,20.376153846160378,60.81855544319296
2005,5.3,,3045,,,,11657,,,,1479873.0,,,,50.71,3158.6,,,,26.980769230774968,68.35447277787716
2006,5.64,,4159,,,,13299,,,,1428992.0,,,,58.86,3538.2,,41473.0,,33.585384615391376,60.93883133
2007,6.05,,5584,22.34,,,15744,,,22.34,1657108.0,,,,72.34,4158.4,,49896.0,,40.190000000005966,120.6410828
2008,6.4,3050.0,6790,28.65,3050.0,5227.0,18230,6.4,1335080.0,28.65,2060843.0,1082657.0,6.4,28340.0,86.61,5182.4,4534.0,60819.0,27501772.0,48.87,72.44786072
2009,7.09,3663.0,7404,34.0,3663.0,7162.0,19624,5.9,1356563.0,34.0,2381672.0,1238392.0,5.9,30074.0,105.46,5709.6,4432.0,67825.0,28262709.0,49.36,69.71439362
2010,7.64,,11006,43.25,,,25973,6.5,,43.25,2920970.0,,6.5,,119.34,6830.8,4412.0,80485.0,,54.06,74.38202667
2011,7.82,5193.0,13982,60.17,5193.0,11889.0,38489,5.3,1848538.0,60.17,4136097.0,2107772.0,5.3,47828.0,169.38,8112.5,4329.0,91848.0,38311448.0,66.52,107.9358215
2012,8.13,7341.0,19782,76.45,7341.0,13173.0,41009,8.3,2192138.0,76.45,,2558685.0,8.3,60681.0,232.33,9043.0,4358.0,102653.0,44601011.0,74.67,184.4468079
2013,8.19,10191.0,24856,92.81,10191.0,16302.0,60915,10.7,2459585.0,92.81,5699615.0,3000377.0,10.7,68175.0,276.16,9945.4,4346.0,102610.0,55696886.0,82.93,173.0208588
2014,8.11,12263.0,26351,109.0,12263.0,16832.0,63422,10.7,2559440.0,109.0,6326265.0,3228057.0,10.7,79014.0,388.56,10640.6,4283.0,113548.0,56651106.0,92.9,130.2878723
2015,8.21,17422.0,37342,120.82,17422.0,16721.0,79963,11.3,2684642.0,120.82,5605736.0,3526665.0,11.3,84291.0,503.44,10879.5,4185.0,123312.0,57277739.0,104.68,131.8063965
2016,8.51,22021.0,39734,125.18,22021.0,17170.0,106514,11.5,2856231.0,125.18,5365129.0,3499551.0,11.5,78336.0,552.64,11477.2,4058.0,128067.0,56428282.0,103.32,143.1006927
2017,8.57,22346.0,41675,115.99,22346.0,15770.0,86996,11.9,2060101.0,115.99,5850624.0,2411418.0,11.9,57881.0,551.44,12450.6,4072.0,137969.0,40949317.0,92.76,139.3325806
2018,8.91,23407.0,54680,106.68,23407.0,15051.0,99038,10.8,2137893.0,106.68,6351712.0,2528761.0,10.8,53280.0,685.59,13362.9,4150.0,153209.0,38556643.0,92.62,166.3213981287863
2019,9.02,20856.0,57799,109.93,20856.0,15634.0,96045,11.1,2120384.0,109.93,6270839.0,2134320.0,11.1,45685.0,909.25,14055.5,4214.0,172063.0,38466201.0,134.75,173.8573154634705
2020,9.14,24945.0,75434,118.17,24945.0,19033.0,111514,11.4,2386906.0,118.17,6031844.0,2287717.0,11.4,45227.0,1089.56,14008.0,4430.0,167961.0,38919876.0,126.05000000000292,181.39323279815653
2021,8.96,26326.0,97910,103.97,26326.0,18952.0,90471,11.6,2880824.0,103.97,6664572.0,2512635.0,11.6,49404.0,1256.83,15685.1,5153.0,179557.0,48140869.0,132.65461538461932,188.92915013284076
2022,9.15,28517.0,71545,62.16,28517.0,18488.0,84335,11.1,3173750.0,62.16,,2845710.0,11.1,51110.0,1650.87,16311.3,5428.0,199095.0,48684233.0,139.2592307692339,196.46506746752675
