Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,106.0,293,,106.0,143.0,399,,20384.0,,296237.0,23220.0,,2094.0,1.28,519.9,,,261582.0,25.094475524476135,237.4223175
2005,0.82,,214,,,,516,,,,363459.0,,,,1.41,579.9,,,,25.80374125874164,141.8809967
2006,1.01,,290,,,,671,,,,398718.0,,,,0.53,683.3,,22540.0,,26.51300699300737,106.9169693
2007,1.05,,296,4.79,,,838,,,4.79,636974.0,,,,0.66,877.6,,26749.0,,27.222272727273094,49.26380539
2008,1.24,111.0,606,4.33,111.0,266.0,1087,1.2,81192.0,4.33,702612.0,65694.0,1.2,3336.0,0.89,1139.2,1610.0,31069.0,734679.0,26.77,102.7885666
2009,1.33,171.0,910,4.4,171.0,357.0,1277,1.2,98097.0,4.4,813071.0,77591.0,1.2,3568.0,0.9,1266.7,1721.0,34346.0,963234.0,25.17,104.0182877
2010,1.48,,1081,5.97,,,739,1.2,,5.97,994671.0,,1.2,,1.0,1571.7,1868.0,36666.0,,27.89,85.2304306
2011,1.62,221.0,613,7.87,221.0,601.0,1079,1.3,120351.0,7.87,1313862.0,118879.0,1.3,3967.0,3.94,1931.8,1912.0,46198.0,1385912.0,30.87,57.89246368
2012,1.79,300.0,844,9.61,300.0,914.0,1985,1.2,142473.0,9.61,,143696.0,1.2,4196.0,2.91,2131.0,2107.0,49144.0,1856287.0,33.74,90.59457397
2013,1.82,387.0,1211,10.69,387.0,1132.0,3230,1.4,149924.0,10.69,1578935.0,167494.0,1.4,4817.0,1.43,2327.7,2195.0,57000.0,2796416.0,32.98,112.32901
2014,1.9,675.0,1424,11.66,675.0,1160.0,3532,1.4,176515.0,11.66,1697964.0,186518.0,1.4,5799.0,3.18,2473.9,2255.0,63195.0,1912824.0,36.68,99.96741486
2015,1.89,908.0,1865,17.25,908.0,1429.0,4394,1.5,182332.0,17.25,1963258.0,200453.0,1.5,5470.0,3.52,2579.4,2244.0,71581.0,2826884.0,34.55,45.05103302
2016,1.95,1248.0,2677,18.26,1248.0,1757.0,6149,1.6,202032.0,18.26,2072544.0,239624.0,1.6,5686.0,4.05,2781.4,2225.0,76339.0,2026821.0,32.67,76.46404266
2017,2.04,1633.0,4244,25.55,1633.0,1978.0,8575,1.5,182203.0,25.55,2288400.0,291101.0,1.5,6392.0,6.67,3200.3,2278.0,78182.0,3352269.0,33.15,102.7975769
2018,2.12,2282.0,5658,34.02,2282.0,2205.0,9860,1.3,234314.0,34.02,2346978.0,369910.0,1.3,7060.0,12.11,3510.2,2379.0,91621.0,4826467.0,35.41,56.53614194889997
2019,2.2,2777.0,5555,31.26,2777.0,2885.0,9275,1.4,310908.0,31.26,2532754.0,415733.0,1.4,8073.0,14.9,3748.5,2581.0,93039.0,4476886.0,32.11,50.62079431465827
2020,2.31,3126.0,7710,27.91,3126.0,3774.0,12172,1.7,407112.0,27.91,2791933.0,453491.0,1.7,8333.0,16.81,3956.3,2691.0,109447.0,4592014.0,36.44272727272755,44.70544668041475
2021,2.41,3397.0,12885,29.0,3397.0,3935.0,14579,1.8,558709.0,29.0,2838672.0,517577.0,1.8,10930.0,25.09,4588.2,2749.0,114316.0,5400468.0,37.15199300699328,38.790099046173054
2022,2.53,4012.0,12452,25.56,4012.0,4725.0,16233,1.6,783017.0,25.56,,597053.0,1.6,10804.0,34.05,5069.6,3271.0,129034.0,9244972.0,37.86125874125878,32.87475141193136
