Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,478.0,1607,,478.0,1078.0,2943,,222055.0,,2216291.0,209564.0,,10300.0,9.07,5129.1,,,4198972.0,10.765384615385528,99.1977005
2005,8.05,,1939,,,,3516,,,,2524901.0,,,,14.26,5675.9,,,,11.416923076923922,102.032814
2006,8.93,,2235,,,,4679,,,,2775700.0,,,,18.49,6500.3,,20970.0,,12.068461538462316,31.41127396
2007,10.79,,3413,15.96,,,6070,,,15.96,3451326.0,,,,26.45,7941.6,,23848.0,,12.72000000000071,49.52480698
2008,11.21,3508.0,4346,23.78,3508.0,4490.0,10409,5.6,1023694.0,23.78,4383732.0,691431.0,5.6,32904.0,32.49,9517.7,1658.0,28850.0,11042095.0,13.23,96.15454865
2009,12.42,3496.0,8594,36.47,3496.0,8504.0,16386,6.0,1442068.0,36.47,4873316.0,907544.0,6.0,37649.0,35.62,10864.7,1742.0,32019.0,15333831.0,12.55,89.30319214
2010,13.55,,16012,57.98,,,47128,6.7,,57.98,5990868.0,,6.7,,46.15,13249.8,1841.0,36068.0,,11.67,68.6650238
2011,13.89,5092.0,32681,77.03,5092.0,19214.0,48556,7.5,2363512.0,77.03,8172010.0,1628304.0,7.5,56275.0,65.03,16284.9,2007.0,43177.0,31826110.0,15.89,56.52874374
2012,14.44,9215.0,43321,96.0,9215.0,26665.0,74888,8.2,2793021.0,96.0,,2089814.0,8.2,73356.0,86.16,18341.7,2101.0,51618.0,37318538.0,17.83,109.2135239
2013,14.9,13582.0,48849,109.67,13582.0,32909.0,93353,8.3,3244687.0,109.67,10413043.0,2477246.0,8.3,86000.0,130.83,20584.0,2203.0,60816.0,43790809.0,14.65,91.27107239
2014,15.23,21667.0,48380,129.59,21667.0,40244.0,99160,9.6,3685185.0,129.59,10457811.0,2847303.0,9.6,95287.0,169.83,22519.7,2245.0,63084.0,52808808.0,20.79,121.6516571
2015,15.76,28568.0,59039,147.94,28568.0,45598.0,127709,9.2,3804434.0,147.94,11578495.0,3221422.0,9.2,96791.0,190.47,23831.2,2309.0,69129.0,58822307.0,24.2,110.3152237
2016,16.05,41791.0,60983,259.5,41791.0,49791.0,172552,9.1,4432081.0,259.5,12357931.0,3709224.0,9.1,99451.0,217.37,26307.7,2259.0,73035.0,73210508.0,18.39,125.6614151
2017,16.04,49810.0,58213,260.41,49810.0,52916.0,175872,8.9,5117102.0,260.41,13751567.0,4361175.0,8.9,103598.0,249.57,29676.2,2250.0,83571.0,88430765.0,16.95,111.6440353
2018,16.39,56296.0,79747,294.81,56296.0,56596.0,207428,9.3,5711342.0,294.81,15011779.0,4973027.0,9.3,106744.0,321.31,34010.9,2245.0,93035.0,95323850.0,20.15,94.7035652552296
2019,16.61,54798.0,82524,377.95,54798.0,55520.0,166871,10.6,6192560.0,377.95,16375812.0,5765371.0,10.6,124491.0,449.61,36845.5,2447.0,95977.0,96985530.0,17.16,94.20914692443512
2020,16.94,70467.0,119696,369.98,70467.0,66677.0,202298,11.1,7494349.0,369.98,17478565.0,6394211.0,11.1,139988.0,659.57,38061.5,2702.0,104463.0,120543819.0,21.19000000000028,93.71472859364052
2021,17.37,78480.0,153475,416.09,78480.0,75058.0,196427,10.7,9088347.0,416.09,18979388.0,7391200.0,10.7,170421.0,1787.71,42565.2,3089.0,118465.0,151017266.0,21.84153846153868,93.22031026284606
2022,18.19,91651.0,156584,507.56,91651.0,81620.0,221063,11.7,10408238.0,507.56,,8206500.0,11.7,180814.0,2875.45,45045.0,3283.0,132305.0,175804744.0,22.493076923077297,92.72589193205148
