Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,2145.0,9733,,2145.0,4884.0,18388,,928990.0,,4267089.0,1185772.0,,43800.0,75.09,13308.1,,,23286960.0,11.00343822844161,201.3656158
2005,13.85,,10743,,,,28835,,,,4988243.0,,,,98.36,15947.5,,,,13.016585081588346,204.0461884
2006,15.89,,15937,,,,38284,,,,5471049.0,,,,23.2,18967.8,,26764.0,,15.029731934735082,127.1687927
2007,17.15,,22821,46.41,,,46849,,,46.41,6802414.0,,,,45.03,22718.1,,31695.0,,17.04287878788182,90.86557007
2008,18.5,5453.0,26688,57.13,5453.0,14276.0,60247,8.9,3823546.0,57.13,7749148.0,3759077.0,8.9,124042.0,66.01,27106.2,2071.0,36770.0,55876878.0,22.28,57.1055336
2009,20.08,6507.0,34513,62.88,6507.0,18441.0,66857,10.0,4757571.0,62.88,8397429.0,4567136.0,10.0,129892.0,71.94,29540.8,2153.0,40964.0,71919279.0,18.73,79.54727936
2010,22.06,,51490,84.36,,,80856,11.0,,84.36,10395900.0,,11.0,,100.68,33922.5,2202.0,45803.0,,19.73,88.95678711
2011,22.4,11207.0,58844,108.62,11207.0,27560.0,109599,10.8,6623255.0,108.62,13727939.0,7431254.0,10.8,180832.0,126.38,39064.9,2191.0,52518.0,111844081.0,23.69,100.4068756
2012,23.15,15104.0,75496,124.98,15104.0,34689.0,128614,12.4,8148492.0,124.98,,9056007.0,12.4,204398.0,140.02,42957.3,2238.0,53319.0,129131803.0,26.8,148.5394897
2013,23.75,18340.0,76976,149.14,18340.0,40030.0,155170,16.9,10206343.0,149.14,17796161.0,10528097.0,16.9,227403.0,179.4,47344.3,2304.0,56233.0,142841782.0,28.6,105.7788239
2014,23.38,26122.0,72818,147.06,26122.0,44466.0,158619,18.4,11603104.0,147.06,18847752.0,11755482.0,18.4,230800.0,249.29,50774.8,2421.0,63176.0,145558220.0,34.21,78.71747589
2015,23.7,33785.0,98101,159.05,33785.0,42289.0,193220,18.0,11221423.0,159.05,20632259.0,12917718.0,18.0,241395.0,307.55,55288.8,2516.0,70959.0,146984304.0,38.47,52.84608078
2016,26.27,45917.0,98093,167.0,45917.0,45921.0,212911,17.8,12521655.0,167.0,22422970.0,14150035.0,17.8,241761.0,395.95,58762.5,2620.0,78755.0,163134209.0,36.17,55.01879883
2017,26.29,56076.0,100522,195.77,56076.0,55881.0,204859,18.3,13834842.0,195.77,23946021.0,15636785.0,18.3,239170.0,511.64,63012.1,2519.0,85976.0,181263978.0,35.79,78.49134827
2018,25.82,63496.0,132382,232.74,63496.0,60928.0,231585,17.3,11608192.0,232.74,26349273.0,14184975.0,17.3,236515.0,819.95,66648.9,2588.0,93662.0,152465038.0,36.9,46.75091540692301
2019,26.46,67896.0,146481,305.76,67896.0,57339.0,263211,18.2,10566243.0,305.76,29001760.0,12109485.0,18.2,198205.0,1110.02,70540.5,2855.0,103794.0,134800845.0,40.17,38.99527879441666
2020,26.67,78926.0,238778,298.62,78926.0,78928.0,337280,20.5,12580017.0,298.62,31022594.0,13656187.0,20.5,255281.0,1903.89,72798.2,3154.0,112510.0,170810782.0,43.21378787878984,31.239642181910316
2021,26.65,103410.0,329838,372.32,103410.0,98190.0,369470,22.6,17475012.0,372.32,34007897.0,15653402.0,22.6,349379.0,2477.79,82875.2,3429.0,120830.0,275403023.0,45.22693473193658,23.48400556940578
2022,28.01,130077.0,342290,313.26,130077.0,113621.0,408136,23.1,20292881.0,313.26,,17287025.0,23.1,391781.0,3231.83,87435.1,3663.0,127958.0,378471673.0,47.24008158508332,15.72836895689943
