Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,1079.0,1189,,1079.0,320.0,1949,,114303.0,,1548848.0,165503.0,,9384.0,6.0,3496.0,,,1946480.0,25.07404428904533,110.4215775
2005,5.44,,1220,,,,1985,,,,1891253.0,,,,4.8,4079.4,,,,25.925372960374037,149.2398529
2006,5.66,,1421,,,,2824,,,,2198470.0,,,,5.92,4713.6,,19008.0,,26.776701631702508,78.74526978
2007,6.53,,1992,15.8,,,3333,,,15.8,2649876.0,,,,8.27,5935.6,,23433.0,,27.62803030303121,48.38521194
2008,6.72,603.0,2279,17.64,603.0,1238.0,5386,5.9,564881.0,17.64,3328404.0,488855.0,5.9,31412.0,12.84,7223.0,1979.0,27614.0,6677513.0,30.02,52.43194199
2009,7.77,856.0,3227,17.61,856.0,1798.0,6822,5.9,668441.0,17.61,3809096.0,603934.0,5.9,32703.0,16.21,7147.6,2050.0,30334.0,6296160.0,29.07,64.63262939
2010,8.52,,4752,20.12,,,7927,6.0,,20.12,4508195.0,,6.0,,18.49,8903.9,2132.0,33847.0,,28.84,88.63748169
2011,8.81,1659.0,4974,27.17,1659.0,2848.0,12769,6.1,900093.0,27.17,5494903.0,895891.0,6.1,32476.0,22.48,10894.4,2202.0,37549.0,8609925.0,30.88,79.32115173
2012,9.81,2345.0,7196,33.32,2345.0,3765.0,16786,5.9,1020706.0,33.32,,1069590.0,5.9,31542.0,30.61,11683.1,2351.0,42554.0,9283912.0,34.39,80.19204712
2013,11.0,3008.0,8565,62.06,3008.0,5083.0,18859,7.0,991958.0,62.06,6918247.0,1237698.0,7.0,34024.0,52.77,11987.2,2474.0,50793.0,10272735.0,34.14,130.3771362
2014,11.3,3505.0,8371,54.26,3505.0,4723.0,15687,7.3,1004459.0,54.26,7036233.0,1247027.0,7.3,35775.0,48.46,12094.7,2519.0,51919.0,9246772.0,34.12,135.5765686
2015,11.67,4468.0,10020,37.47,4468.0,3569.0,14948,7.5,681688.0,37.47,8442363.0,1008950.0,7.5,28927.0,51.2,11836.4,2504.0,58390.0,8333433.0,31.25,116.1574631
2016,11.98,5350.0,10062,34.56,5350.0,3786.0,20031,7.2,689735.0,34.56,7942196.0,976283.0,7.2,29450.0,42.56,11946.4,2439.0,60446.0,10850063.0,30.05,98.37980652
2017,12.11,6567.0,11311,50.25,6567.0,4398.0,20697,7.1,895493.0,50.25,8533662.0,1122323.0,7.1,31757.0,94.15,14484.3,2401.0,67918.0,15434765.0,34.81,189.1946869
2018,12.2,7917.0,15060,59.08,7917.0,5423.0,27106,7.3,1354351.0,59.08,9134205.0,1312531.0,7.3,27228.0,150.76,15958.1,2383.0,78056.0,19413025.0,38.47,120.20189417170104
2019,12.28,8619.0,16598,57.72,8619.0,6201.0,31705,7.7,1403231.0,57.72,9857999.0,1380813.0,7.7,27478.0,109.52,16961.6,2515.0,79001.0,19892632.0,41.9,122.17336427842974
2020,12.57,10218.0,27296,66.09,10218.0,8444.0,40302,7.9,1480910.0,66.09,10071575.0,1561790.0,7.9,32547.0,44.98,17835.6,2688.0,83282.0,23111205.0,38.69530303030365,124.14483438515845
2021,12.48,12336.0,37379,83.38,12336.0,10152.0,40460,7.6,1871006.0,83.38,11140175.0,1862448.0,7.6,35468.0,134.47,22870.4,3112.0,91304.0,29406029.0,39.54663170163235,126.11630449188716
2022,12.49,12861.0,33068,61.01,12861.0,9827.0,40421,7.5,1934732.0,61.01,,2023083.0,7.5,40034.0,161.43,25642.6,3388.0,94391.0,35548442.0,40.39796037296105,128.0877745986154
