Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,4373.0,31446,,4373.0,11728.0,52201,,1153829.0,,7087101.0,1631096.0,,54474.0,57.27,18658.3,,,32780523.0,30.37329836830122,145.6584473
2005,13.65,,36894,,,,72220,,,,8066357.0,,,,112.47,21963.0,,,,32.87724941725264,138.3749542
2006,15.51,,43516,,,,90886,,,,8654359.0,,,,107.03,25961.2,,46668.0,,35.381200466203154,78.30284119
2007,16.55,,56451,119.26,,,102449,,,119.26,10734751.0,,,,132.84,31742.6,,52330.0,,37.885151515154575,78.06318665
2008,18.36,18757.0,62031,132.52,18757.0,38958.0,103883,15.1,5320951.0,132.52,11661554.0,4423514.0,15.1,197488.0,201.63,36704.2,1821.0,58143.0,74695491.0,43.44,84.93106842
2009,20.83,27476.0,83621,168.5,27476.0,54922.0,125673,15.4,6294129.0,168.5,12843085.0,5523733.0,15.4,228907.0,170.98,39464.7,1952.0,61896.0,82955488.0,41.85,4.09842062
2010,21.7,,119343,214.44,,,152907,18.1,,214.44,15327348.0,,18.1,,235.89,45944.6,2037.0,69434.0,,44.42,250.4522247
2011,22.73,66453.0,128413,203.92,66453.0,72520.0,196272,18.6,10662949.0,203.92,18846365.0,8994412.0,18.6,346260.0,275.06,53072.8,1978.0,78743.0,143822736.0,46.65,91.24639893
2012,23.95,83280.0,153598,246.71,83280.0,87143.0,229514,21.3,11865618.0,246.71,,10778634.0,21.3,424563.0,364.94,57007.7,2082.0,85565.0,154028478.0,48.82,104.23393669255802
2013,25.17,97052.0,170430,344.94,97052.0,96646.0,264265,29.5,14065712.0,344.94,24775503.0,12374791.0,29.5,426330.0,529.39,62503.4,2199.0,90557.0,180137410.0,50.01,60.62467957
2014,26.15,126936.0,179953,274.33,126936.0,114447.0,278358,31.9,16233271.0,274.33,27356552.0,13752869.0,31.9,424872.0,413.25,68173.0,2356.0,96537.0,203133184.0,54.79,278.5776672
2015,26.96,177047.0,241176,569.55,177047.0,106038.0,355939,34.7,18310389.0,569.55,30474906.0,15205497.0,34.7,411059.0,662.58,74732.4,2434.0,98929.0,226425002.0,61.43,65.51696014
2016,27.51,236918.0,259032,742.97,236918.0,145448.0,505667,32.3,23097271.0,742.97,33675376.0,16762749.0,32.3,423730.0,758.17,82163.2,2431.0,111233.0,286714109.0,63.86,57.20541382
2017,27.66,289238.0,332652,823.89,289238.0,199293.0,627834,33.9,28286496.0,823.89,38610331.0,18650313.0,33.9,457342.0,937.08,91648.7,2454.0,125634.0,348630305.0,63.81,56.38425064
2018,28.28,328467.0,478082,1034.71,328467.0,241700.0,793819,37.8,33366963.0,1034.71,42684258.0,21072031.0,37.8,621950.0,1365.42,99945.2,2542.0,141024.0,393760563.0,66.56,94.4066977277771
2019,28.82,375515.0,527390,1168.79,375515.0,272616.0,807700,47.3,38649832.0,1168.79,49187551.0,23148566.0,47.3,642490.0,2223.08,107986.9,2751.0,144174.0,429700648.0,64.29,92.76882456698011
2020,29.71,435509.0,709725,955.73,435509.0,305665.0,967204,47.8,41271302.0,955.73,53869558.0,24999527.0,47.8,700017.0,3267.21,111151.6,3175.0,159036.0,443130513.0,70.43651515151669,91.13095140618316
2021,29.37,511717.0,872209,982.76,511717.0,340935.0,980634,51.5,46369762.0,982.76,60188062.0,29021849.0,51.5,709119.0,4099.61,124719.5,2922.0,171581.0,496849026.0,72.94046620046811,89.49307824538619
2022,31.09,572589.0,837276,983.78,572589.0,354470.0,993480,52.4,51594669.0,983.78,,32177548.0,52.4,772585.0,3967.48,129118.6,3129.0,175554.0,480751067.0,75.44441724941862,87.85520508458967
