Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,196.0,1272,,196.0,755.0,2202,,57099.0,,1605769.0,65654.0,,4879.0,9.1,3305.1,,,2757457.0,13.10550116550138,115.3940277
2005,4.21,,1225,,,,2379,,,,1832798.0,,,,9.41,3742.1,,,,13.275536130536352,77.85314178
2006,4.81,,1442,,,,2784,,,,2134365.0,,,,0.94,4417.8,,22046.0,,13.445571095571268,72.85709381
2007,5.84,,1907,13.19,,,3480,,,13.19,2758915.0,,,,1.0,5474.8,,26192.0,,13.61560606060624,55.56642151
2008,6.14,568.0,2228,16.21,568.0,1072.0,3884,6.0,365544.0,16.21,3476223.0,239850.0,6.0,9358.0,2.7,6455.4,1352.0,30827.0,5941510.0,14.05,70.51135254
2009,6.68,761.0,2702,18.07,761.0,1322.0,4277,6.4,443277.0,18.07,3873253.0,324191.0,6.4,12042.0,1.77,7112.9,1436.0,33162.0,8223781.0,12.49,61.40657425
2010,7.39,,3647,21.66,,,5117,7.0,,21.66,4941416.0,,7.0,,4.14,8552.4,1530.0,36182.0,,14.21,77.306427
2011,7.7,932.0,4402,28.25,932.0,2069.0,8106,7.6,740604.0,28.25,5938482.0,586791.0,7.6,20155.0,5.64,10299.9,1688.0,38626.0,12260904.0,14.71,74.33851624
2012,8.23,1499.0,5900,42.81,1499.0,3025.0,13610,9.3,771269.0,42.81,,702225.0,9.3,20845.0,2.52,11303.6,1834.0,40093.0,12369278.0,12.67,101.5137939
2013,8.84,1889.0,7884,54.36,1889.0,4468.0,23251,9.4,849395.0,54.36,7794191.0,817063.0,9.4,20700.0,7.34,12448.4,1939.0,48101.0,15866038.0,14.18,61.18065643
2014,9.4,2670.0,9664,59.93,2670.0,4840.0,32298,9.8,850464.0,59.93,8586224.0,848808.0,9.8,22793.0,11.58,13587.8,2052.0,52236.0,13484220.0,16.96,98.84976959
2015,10.62,3731.0,13573,49.63,3731.0,4613.0,43696,9.5,903957.0,49.63,10111559.0,769190.0,9.5,19000.0,7.31,14797.8,2178.0,63754.0,16333703.0,17.52,97.40991974
2016,11.48,6010.0,14858,45.2,6010.0,5555.0,59239,8.9,905498.0,45.2,10914241.0,827248.0,8.9,19402.0,33.99,16116.6,2279.0,68957.0,19808824.0,15.75,110.0566711
2017,11.79,6557.0,15270,60.04,6557.0,5428.0,56988,8.3,1120030.0,60.04,11891781.0,935996.0,8.3,16163.0,39.42,17790.7,2383.0,79025.0,22492207.0,15.61,118.8451614
2018,12.52,6846.0,20551,64.43,6846.0,6239.0,44224,7.1,1091022.0,64.43,12836618.0,891031.0,7.1,17228.0,61.41,19627.8,2602.0,87768.0,18335851.0,15.12,69.20174200548809
2019,13.0,8176.0,22687,72.33,8176.0,6373.0,41900,7.4,1445180.0,72.33,14367736.0,1044742.0,7.4,22102.0,77.56,21237.1,2887.0,95268.0,18382401.0,13.38,65.76475070378547
2020,13.62,8667.0,34470,66.26,8667.0,7546.0,51712,8.6,1872393.0,66.26,15418302.0,1133332.0,8.6,20407.0,91.67,22120.9,3107.0,105029.0,25712986.0,15.82606060606065,62.32775940208194
2021,13.34,14995.0,46804,71.13,14995.0,11641.0,55987,8.8,2173118.0,71.13,16448664.0,1370239.0,8.8,28508.0,940.58,25209.1,3432.0,111447.0,30334971.0,15.996095571095566,58.89076810037932
2022,14.62,12721.0,44691,104.12,12721.0,11637.0,56283,9.1,2227761.0,104.12,,1505736.0,9.1,37341.0,226.99,26300.9,3651.0,111105.0,28604514.0,16.166130536130538,55.4537767986767
