Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,165.0,792,,165.0,349.0,1492,,9704.0,,1331540.0,36008.0,,2357.0,13.34,2170.4,,,425117.0,28.01313519813561,111.3375473
2005,2.86,,921,,,,1851,,,,1527225.0,,,,8.0,2520.5,,,,28.44219114219152,646.6431274
2006,2.92,,1187,,,,2256,,,,1532703.0,,,,7.61,2957.3,,21312.0,,28.871247086247536,52.29324722
2007,3.21,,1534,12.84,,,2270,,,12.84,1916673.0,,,,7.17,3500.0,,26571.0,,29.30030303030344,32.26659393
2008,3.24,184.0,1493,14.84,184.0,459.0,2412,4.6,136881.0,14.84,2501661.0,124159.0,4.6,4489.0,7.4,4142.5,1414.0,29939.0,1600767.0,28.36,49.55134964
2009,3.32,447.0,1866,16.14,447.0,928.0,2872,4.7,118664.0,16.14,2959264.0,140932.0,4.7,5023.0,1.21,4237.0,1430.0,32633.0,1034710.0,27.17,48.04845428
2010,3.43,,2562,20.19,,,3560,4.8,,20.19,3655998.0,,4.8,,4.52,5360.2,1467.0,38593.0,,29.13,37.85191345
2011,3.43,325.0,2642,26.43,325.0,1426.0,4736,5.0,318627.0,26.43,4605867.0,223352.0,5.0,6723.0,4.38,6532.0,1521.0,45501.0,2561510.0,32.77,46.53403854
2012,3.61,468.0,3439,33.01,468.0,1776.0,7044,6.1,335323.0,33.01,,273425.0,6.1,6202.0,5.39,7411.8,1596.0,50555.0,2760241.0,32.31,69.91106415
2013,3.79,695.0,4998,39.85,695.0,2256.0,8224,6.5,394450.0,39.85,5989856.0,314257.0,6.5,6668.0,3.0,8392.6,1681.0,60859.0,3533318.0,33.75,70.89646912
2014,3.79,1111.0,5238,40.34,1111.0,2458.0,10210,6.6,321291.0,40.34,6349792.0,357812.0,6.6,6688.0,2.82,9264.5,1749.0,65981.0,4837892.0,34.81,74.19824219
2015,4.02,1553.0,8761,41.64,1553.0,2340.0,12250,6.4,331351.0,41.64,7132774.0,366180.0,6.4,7188.0,3.03,9306.9,1759.0,75478.0,4943911.0,34.82,65.8976059
2016,4.23,2030.0,7116,44.98,2030.0,2546.0,14105,6.4,444784.0,44.98,7823914.0,390946.0,6.4,7310.0,4.28,9630.8,1780.0,79944.0,4745506.0,34.68,68.13630676
2017,4.83,2565.0,8094,42.81,2565.0,3022.0,14260,6.3,425657.0,42.81,8462090.0,400468.0,6.3,6191.0,5.76,11159.9,1863.0,85516.0,3938875.0,34.49,46.38435364
2018,5.27,3252.0,9658,42.25,3252.0,3568.0,14647,6.5,412821.0,42.25,9522617.0,448779.0,6.5,5806.0,3.92,12809.4,1954.0,89605.0,4328589.0,33.52,35.40217692698934
2019,5.68,3351.0,8652,40.81,3351.0,3632.0,14771,6.6,386888.0,40.81,10214911.0,441347.0,6.6,4698.0,7.82,13597.1,2106.0,95077.0,5571410.0,29.26,28.499773409890626
2020,6.35,4580.0,12763,41.25,4580.0,4427.0,18843,6.7,419072.0,41.25,11029496.0,391939.0,6.7,4752.0,15.11,13800.7,2331.0,103693.0,6330868.0,34.87803030303053,21.597369892790084
2021,6.4,5670.0,21178,42.86,5670.0,5181.0,22221,7.0,771845.0,42.86,11146119.0,541819.0,7.0,8995.0,18.85,16311.6,2526.0,110854.0,5820921.0,35.30708624708643,14.694966375691363
2022,7.22,7225.0,20528,53.53,7225.0,6164.0,25795,6.8,1356929.0,53.53,,641190.0,6.8,10248.0,31.18,17741.3,2773.0,119490.0,6854785.0,35.73614219114245,7.792562858590827
