Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,2990.0,11330,,2990.0,7110.0,23532,,1457350.0,,5570009.0,1530561.0,,69654.0,89.79,14823.1,,,27638099.0,25.22713286713588,27.52583885
2005,18.27,,13580,,,,34811,,,,6653202.0,,,,100.83,18121.3,,,,27.911118881121183,37.15976715
2006,19.06,,19352,,,,53267,,,,6845888.0,,,,68.83,21240.8,,36220.0,,30.5951048951074,21.27755928
2007,21.76,,31770,68.73,,,88950,,,68.73,8513327.0,,,,78.42,25988.4,,42391.0,,33.27909090909361,31.08568382
2008,22.12,9680.0,44438,91.52,9680.0,21901.0,128002,9.4,6197076.0,91.52,9964272.0,4808289.0,9.4,155781.0,94.02,30945.5,2679.0,48834.0,72434173.0,36.39,98.43864441
2009,22.88,14156.0,87286,117.02,14156.0,40043.0,174329,9.8,6919176.0,117.02,11054890.0,5707105.0,9.8,222625.0,108.22,34471.7,2786.0,53849.0,85236348.0,34.56,127.9481888
2010,25.31,,138382,150.35,,,235873,10.9,,150.35,13146233.0,,10.9,,249.34,41383.9,2819.0,60437.0,,36.09,38.92484283
2011,24.05,26720.0,199814,213.4,26720.0,72763.0,348381,12.0,11824447.0,213.4,15882132.0,8998944.0,12.0,287447.0,333.43,48839.2,2824.0,70982.0,148421107.0,41.08,52.18817902
2012,24.03,45120.0,269944,257.24,45120.0,84876.0,472656,12.8,14945123.0,257.24,,10803107.0,12.8,342262.0,400.91,53701.9,2786.0,76548.0,178454188.0,49.36,185.7209015
2013,24.45,52718.0,239645,302.59,52718.0,93518.0,504500,19.2,16693195.0,302.59,19862835.0,12395745.0,19.2,393942.0,527.5,59349.4,2814.0,77708.0,197142112.0,50.96,199.3966522
2014,25.06,73252.0,200032,327.1,73252.0,115616.0,421907,21.5,17649058.0,327.1,20800931.0,13765378.0,21.5,422865.0,543.16,64830.5,2858.0,81571.0,235409275.0,59.18,424.3791504
2015,25.6,85485.0,250290,371.96,85485.0,119927.0,428337,21.8,17117386.0,371.96,22463773.0,15065065.0,21.8,441304.0,572.92,71255.9,2896.0,91213.0,244632694.0,65.68,318.3999634
2016,26.88,117912.0,231033,381.02,117912.0,131284.0,512429,21.8,19090345.0,381.02,24020855.0,16575418.0,21.8,451885.0,635.64,77350.9,2937.0,100375.0,280846698.0,60.95,43.71399307
2017,26.74,140346.0,227187,428.01,140346.0,124980.0,514402,22.0,21506492.0,428.01,25960645.0,18338832.0,22.0,455468.0,778.42,85869.8,3045.0,112285.0,285790192.0,55.67,47.75826263
2018,27.18,176120.0,306996,507.31,176120.0,165096.0,600306,21.8,24680855.0,507.31,28276374.0,20245195.0,21.8,455530.0,991.45,93207.6,3143.0,123839.0,284250383.0,60.61,211.1698600578493
2019,27.43,180893.0,314395,572.04,180893.0,175906.0,594249,27.3,27013149.0,572.04,31093313.0,22061581.0,27.3,508375.0,1471.52,98656.8,3311.0,128141.0,301019390.0,58.17,223.11666875692023
2020,28.3,224512.0,499167,584.39,224512.0,196799.0,719452,26.6,28223651.0,584.39,33717331.0,23816885.0,26.6,538781.0,2087.85,102807.7,3653.0,142558.0,394428431.0,68.17090909090984,235.06347745599123
2021,28.73,242423.0,640917,671.59,242423.0,207371.0,696693,27.2,33574354.0,671.59,37333811.0,27166319.0,27.2,612676.0,2606.17,117392.4,3531.0,157913.0,426223729.0,70.85489510489606,247.0102861550622
2022,30.01,299124.0,560127,678.32,299124.0,218368.0,662509,28.1,38132096.0,678.32,,29936774.0,28.1,655930.0,2986.78,122875.6,3726.0,166161.0,511183110.0,73.53888111888227,258.9570948541332
