Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,148.0,1169,,148.0,296.0,2685,,87493.0,,1566029.0,150868.0,,10335.0,9.37,3398.1,,,1763042.0,9.968799533800848,74.86920929
2005,7.95,,1361,,,,2815,,,,1889654.0,,,,11.12,3941.2,,,,11.047785547787043,77.82217407
2006,7.79,,1536,,,,3171,,,,2213618.0,,,,9.31,4696.8,,20372.0,,12.126771561772784,72.08611298
2007,8.78,,2069,8.74,,,3548,,,8.74,2850048.0,,,,9.95,5777.6,,22705.0,,13.20575757575898,58.39957428
2008,9.18,406.0,2295,11.14,406.0,756.0,3746,4.9,467494.0,11.14,3333171.0,495245.0,4.9,17537.0,7.76,6934.2,2062.0,25533.0,6014402.0,16.3,102.2406158
2009,10.39,511.0,2915,13.4,511.0,1398.0,5224,5.0,466584.0,13.4,3776516.0,582649.0,5.0,19959.0,9.79,7630.0,2118.0,28934.0,5094716.0,14.41,114.5904922
2010,11.56,,4349,18.26,,,6307,5.1,,18.26,4494597.0,,5.1,,23.05,9383.2,2162.0,30430.0,,12.6,89.0637207
2011,11.38,975.0,5550,21.32,975.0,2363.0,9673,5.5,738567.0,21.32,6307866.0,769834.0,5.5,23969.0,34.19,11584.5,2212.0,37628.0,9418710.0,15.39,76.43569183
2012,12.14,1398.0,7985,27.5,1398.0,3015.0,12458,5.4,917019.0,27.5,,925985.0,5.4,23877.0,39.78,12807.7,2295.0,39356.0,12871344.0,18.75,91.71012115
2013,12.27,2333.0,9970,46.32,2333.0,4893.0,16938,5.7,977849.0,46.32,8284996.0,1106443.0,5.7,29519.0,43.06,14300.2,2381.0,47738.0,16829309.0,18.36,140.8329163
2014,12.68,3383.0,13831,58.37,3383.0,6825.0,25594,5.5,1291820.0,58.37,8930127.0,1284642.0,5.5,28803.0,50.76,15667.8,2527.0,55957.0,17563827.0,24.85,123.6350174
2015,12.38,4765.0,24161,74.79,4765.0,8561.0,36936,5.7,1445062.0,74.79,9732898.0,1474968.0,5.7,31321.0,64.85,16780.9,2654.0,66749.0,20586019.0,27.62,81.60664368
2016,13.51,6993.0,31472,83.12,6993.0,12594.0,60494,6.2,2227922.0,83.12,10468837.0,1797561.0,6.2,34924.0,79.01,18388.6,2698.0,74844.0,31368046.0,26.17,113.8047638
2017,13.49,10806.0,33029,120.09,10806.0,19383.0,70591,6.2,2949584.0,120.09,11717849.0,2216865.0,6.2,45082.0,96.21,20210.8,2676.0,80120.0,38571746.0,21.44,102.082283
2018,14.18,11878.0,52819,147.09,11878.0,26303.0,86001,6.1,3673303.0,147.09,13152969.0,2677714.0,6.1,67394.0,115.82,22716.5,2771.0,89931.0,45117850.0,22.72,102.5386743405238
2019,14.57,13328.0,59140,182.92,13328.0,27813.0,91474,6.4,4584841.0,182.92,14535470.0,3202151.0,6.4,85032.0,148.61,24667.3,3010.0,97846.0,63281504.0,24.02,102.86907268677784
2020,15.3,18715.0,80239,195.74,18715.0,30838.0,109738,7.1,4669998.0,195.74,15772884.0,3460219.0,7.1,100473.0,233.41,25782.0,3424.0,102246.0,72213414.0,27.232575757576345,103.19947103303171
2021,15.52,21690.0,97372,210.95,21690.0,32350.0,100930,7.1,5884402.0,210.95,16514212.0,3978466.0,7.1,97497.0,409.38,29827.8,4001.0,109012.0,95750449.0,28.311561771562083,103.52986937928574
2022,17.27,24847.0,75830,228.43,24847.0,32595.0,91815,7.4,6090169.0,228.43,,4396905.0,7.4,101018.0,733.88,32074.7,4423.0,111457.0,116447505.0,29.39054778554828,103.86026772553964
