Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,638.0,3407,,638.0,1205.0,5647,,219191.0,,2700904.0,260405.0,,19451.0,7.27,7588.6,,,3694886.0,17.865641025641935,132.0717316
2005,9.35,,3585,,,,6401,,,,3249421.0,,,,10.38,8773.4,,,,18.5698717948726,148.7640839
2006,10.15,,4131,,,,7220,,,,3554401.0,,,,15.61,10043.0,,25895.0,,19.27410256410326,74.92456818
2007,12.05,,5358,17.41,,,7853,,,17.41,4403700.0,,,,16.43,12152.9,,29277.0,,19.97833333333415,63.2591362
2008,12.57,1058.0,5496,21.67,1058.0,1855.0,9128,8.2,792676.0,21.67,5584914.0,766113.0,8.2,27259.0,16.59,14200.1,1811.0,36825.0,10685885.0,24.06,89.50650787
2009,14.92,1539.0,6839,26.43,1539.0,3190.0,11361,8.4,870897.0,26.43,6145261.0,933016.0,8.4,36418.0,17.21,15306.9,1871.0,42809.0,11634045.0,21.59,99.23101807
2010,15.64,,10061,29.65,,,12295,8.9,,29.65,7192734.0,,8.9,,19.29,18003.6,1951.0,49179.0,,19.28,87.78642273
2011,15.19,2601.0,11119,33.22,2601.0,5771.0,17595,10.0,1496755.0,33.22,8447882.0,1586189.0,10.0,51498.0,26.25,21384.7,2006.0,59318.0,18992289.0,21.6,90.98365784
2012,15.61,3358.0,15315,44.74,3358.0,7841.0,23241,12.5,1798885.0,44.74,,1980850.0,12.5,55979.0,37.82,23077.5,2063.0,58892.0,24576633.0,22.76,120.4843903
2013,16.08,4049.0,18186,49.76,4049.0,9171.0,27619,14.0,2025041.0,49.76,10298143.0,2327418.0,14.0,65049.0,31.56,24259.6,2108.0,61114.0,29160256.0,21.78,103.4998016
2014,16.44,4999.0,20132,51.32,4999.0,9929.0,30000,14.5,2334622.0,51.32,10861672.0,2606711.0,14.5,75142.0,29.22,25208.9,2098.0,63937.0,33340326.0,26.55,76.30929565
2015,16.72,7740.0,30130,45.5,7740.0,10396.0,44060,14.8,2465369.0,45.5,12861641.0,2858051.0,14.8,79452.0,39.54,26398.4,2141.0,69744.0,34762445.0,28.36,78.68138885
2016,18.21,13074.0,31826,73.18,13074.0,13189.0,54838,16.4,2626889.0,73.18,14203834.0,3086608.0,16.4,82971.0,59.0,28474.1,2191.0,74020.0,39231360.0,26.29,115.6779938
2017,18.91,14750.0,35348,69.08,14750.0,13855.0,61288,14.1,3422205.0,69.08,15938479.0,3509684.0,14.1,79135.0,88.92,30640.8,2328.0,81947.0,46623294.0,24.92,79.15668488
2018,20.02,18762.0,51894,77.04,18762.0,16707.0,83785,15.9,3863708.0,77.04,17389625.0,3819916.0,15.9,68956.0,275.98,32494.6,2457.0,93052.0,52288698.0,28.2,90.16745369575256
2019,21.29,21487.0,57809,90.7,21487.0,21570.0,101274,16.4,5046187.0,90.7,19921191.0,4385826.0,16.4,76096.0,381.19,34978.6,2596.0,90917.0,64847324.0,29.28,89.32752380594889
2020,21.83,28135.0,92196,101.76,28135.0,24815.0,125608,15.7,5621709.0,101.76,21282804.0,4854544.0,15.7,86337.0,554.96,36013.8,2700.0,99962.0,71909825.0,29.13333333333344,88.48759391614499
2021,21.88,34240.0,120034,112.64,34240.0,30171.0,130705,15.6,7209207.0,112.64,21927812.0,5703924.0,15.6,83401.0,747.32,40397.1,2926.0,93508.0,96682633.0,29.83756410256433,87.64766402634132
2022,22.91,38203.0,115314,118.13,38203.0,33789.0,137437,14.3,8594266.0,118.13,,6358675.0,14.3,111333.0,1003.83,42370.4,3070.0,112680.0,94746340.0,30.54179487179499,86.80773413653742
