Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,810.0,3318,,810.0,1827.0,6318,,243735.0,,2999489.0,274981.0,,25197.0,20.32,8411.2,,,4671530.0,14.60709790209819,164.791275
2005,10.62,,3748,,,,8981,,,,3579528.0,,,,26.37,10243.5,,,,14.83003496503528,152.197525
2006,12.34,,5242,,,,11538,,,,4179475.0,,,,23.73,11977.9,,22524.0,,15.052972027972316,78.92781067
2007,14.41,,6998,25.23,,,14916,,,25.23,5493997.0,,,,26.19,14824.5,,25012.0,,15.275909090909352,64.94090271
2008,15.04,2102.0,9133,30.44,2102.0,5244.0,19090,11.9,1110969.0,30.44,6561523.0,976394.0,11.9,52482.0,25.44,17735.9,1648.0,28998.0,14541593.0,16.19,52.85719299
2009,18.38,3388.0,11425,35.52,3388.0,7551.0,19589,11.1,1508454.0,35.52,7633496.0,1334943.0,11.1,69647.0,26.3,19181.0,1774.0,33250.0,17710388.0,15.31,70.60486603
2010,21.13,,16539,44.67,,,25149,11.5,,44.67,9111164.0,,11.5,,27.2,22655.0,1839.0,36436.0,,14.31,47.53650665
2011,20.39,4049.0,19259,56.59,4049.0,10186.0,34076,12.3,2053205.0,56.59,11821418.0,2137236.0,12.3,93833.0,38.76,26318.7,1901.0,39277.0,25501566.0,15.18,57.54519272
2012,22.57,5133.0,26791,69.64,5133.0,12503.0,43442,13.1,2313506.0,69.64,,2489651.0,13.1,102846.0,39.94,28961.9,2012.0,45988.0,25762027.0,15.53,92.1633606
2013,23.59,6470.0,29482,80.0,6470.0,14400.0,55920,14.8,2660106.0,80.0,15577127.0,2953410.0,14.8,125091.0,40.24,31632.5,2114.0,47717.0,47914474.0,16.2,2.284571648
2014,23.55,8497.0,33366,81.25,8497.0,16505.0,62434,16.4,2971713.0,81.25,16385611.0,3372310.0,16.4,134256.0,40.79,34574.8,2203.0,53509.0,51689500.0,18.9,51.02309733986112
2015,24.17,11305.0,47766,83.25,11305.0,16518.0,74373,17.2,3065512.0,83.25,17411099.0,3688252.0,17.2,131051.0,45.04,37084.1,2293.0,56866.0,57894206.0,21.08,49.02112579
2016,25.62,15863.0,49145,96.1,15863.0,17457.0,94669,17.8,3370816.0,96.1,18902582.0,4096962.0,17.8,132731.0,58.71,40249.3,2352.0,59171.0,61154137.0,18.68,86.23591614
2017,25.8,19457.0,55407,137.94,19457.0,22367.0,119240,17.1,3982301.0,137.94,21546749.0,4722542.0,17.1,123619.0,76.85,44824.9,2455.0,68353.0,70958863.0,16.57,96.05151367
2018,27.99,23857.0,82318,155.67,23857.0,27603.0,154381,14.0,4481123.0,155.67,24293502.0,5289250.0,14.0,128054.0,149.28,49935.9,2653.0,83301.0,76882017.0,16.64,12.142036417015332
2019,28.73,30245.0,86247,211.07,30245.0,30397.0,144010,17.6,4980837.0,211.07,26685217.0,6087153.0,17.6,140361.0,231.89,53717.8,2913.0,89322.0,67883527.0,16.11,2.421771186302067
2020,29.29,36500.0,122809,254.28,36500.0,38206.0,178585,18.4,5262726.0,254.28,28022275.0,6855770.0,18.4,145464.0,379.78,54259.4,3223.0,86681.0,79074956.0,18.174090909090864,-7.298494044407562
2021,29.73,42849.0,158038,329.25,42849.0,45391.0,167550,18.4,5943870.0,329.25,27674810.0,7640132.0,18.4,162562.0,607.33,58071.4,3424.0,91438.0,88258121.0,18.39702797202796,-17.01875927512083
2022,31.52,45993.0,135990,409.2,45993.0,47069.0,169106,18.0,6671623.0,409.2,,8455419.0,18.0,175486.0,1020.75,61345.1,3652.0,93284.0,106560217.0,18.61996503496499,-26.739024505830457
