Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,5070.0,15249,,5070.0,9849.0,25294,,1040418.0,,5001700.0,880654.0,,42507.0,58.15,11482.1,,,23409319.0,27.00898601398876,80.59560394
2005,10.04,,19056,,,,43221,,,,5684275.0,,,,38.7,13028.3,,,,29.65356643356881,78.13176727
2006,11.13,,30968,,,,52980,,,,6315051.0,,,,39.96,15302.7,,39682.0,,32.298146853149774,49.00043488
2007,12.01,,42069,71.54,,,68933,,,71.54,7058575.0,,,,45.35,18640.0,,44602.0,,34.942727272729826,59.81341171
2008,12.8,11098.0,52953,86.79,11098.0,33652.0,89931,9.6,4080592.0,86.79,7972834.0,2757063.0,9.6,126273.0,58.92,21284.6,2324.0,50491.0,64081539.0,42.69,65.10385132
2009,13.28,11787.0,79945,99.3,11787.0,46402.0,108482,10.5,4182500.0,99.3,8911507.0,3301031.0,10.5,150888.0,56.46,22833.7,2303.0,53648.0,63482974.0,36.16,328.5074768
2010,13.89,,114643,121.4,,,120742,14.0,,121.4,10625688.0,,14.0,,60.35,27399.9,2285.0,56621.0,,35.76,249.1297455
2011,14.24,18091.0,130190,143.9,18091.0,52207.0,177066,15.5,6014674.0,143.9,12069078.0,4799069.0,15.5,203904.0,71.9,31854.8,2218.0,64799.0,100493941.0,43.68,107.2072601
2012,14.91,20553.0,188463,165.98,20553.0,68003.0,249373,17.5,7145347.0,165.98,,5886071.0,17.5,228618.0,81.31,34382.4,2288.0,67761.0,112839734.0,51.8,84.37910461
2013,14.75,22578.0,202350,191.87,22578.0,77067.0,294014,16.0,8216556.0,191.87,14490439.0,6843562.0,16.0,263507.0,81.5,37334.6,2363.0,82352.0,148820993.0,48.17,110.6505051
2014,14.85,28235.0,188544,207.99,28235.0,77135.0,261435,16.1,8960543.0,207.99,16079755.0,7681473.0,16.1,290339.0,87.25,40023.5,2408.0,90368.0,165078596.0,57.83,81.46524048
2015,14.8,31642.0,234983,250.79,31642.0,80512.0,307264,16.1,8989328.0,250.79,17568215.0,8535689.0,16.1,316672.0,98.1,43507.7,2414.0,98452.0,188391393.0,63.26,50.63684082
2016,14.54,38661.0,221456,269.04,38661.0,78729.0,393147,18.6,10041634.0,269.04,18908104.0,9357877.0,18.6,321845.0,198.37,47254.0,2355.0,99537.0,213968302.0,62.02,90.4801178
2017,14.62,49158.0,213805,303.5,49158.0,85639.0,377115,19.0,11074026.0,303.5,21327866.0,10301447.0,19.0,333646.0,324.73,52403.1,2345.0,120521.0,211501500.0,58.32,97.14289093
2018,15.09,62341.0,284621,379.66,62341.0,100254.0,455590,16.6,12700402.0,379.66,24009012.0,11473921.0,16.6,394147.0,590.66,58002.8,2370.0,142811.0,233081591.0,63.59,125.23478053222424
2019,15.16,75770.0,285342,516.06,75770.0,114326.0,435883,18.0,15316802.0,516.06,27343770.0,12742260.0,18.0,451752.0,888.01,62462.0,2509.0,154576.0,260993704.0,62.31,128.03087600748768
2020,15.59,93159.0,391700,472.13,93159.0,138589.0,507050,19.6,17652995.0,472.13,28846115.0,13958988.0,19.6,480493.0,1403.32,64689.1,2704.0,163113.0,283024993.0,69.32227272727323,130.8269714827511
2021,15.62,120873.0,465468,578.6,120873.0,159920.0,503197,21.7,23250693.0,578.6,31651797.0,15916604.0,21.7,482140.0,1855.78,74040.8,2632.0,174772.0,368901158.0,71.96685314685419,133.62306695801362
2022,16.76,146012.0,443985,680.89,146012.0,171872.0,513830,22.7,27110707.0,680.89,,17680564.0,22.7,519168.0,2435.07,77715.4,2763.0,184462.0,412818209.0,74.61143356643424,136.41916243327705
