Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,63.0,278,,63.0,43.0,375,,7391.0,,389305.0,11378.0,,475.0,0.19,802.7,,,670854.0,17.10512820512986,177.8941193
2005,1.04,,200,,,,498,,,,468455.0,,,,1.0,884.9,,,,19.123974358976284,182.5282288
2006,1.38,,248,,,,538,,,,558645.0,,,,0.85,1027.5,,16647.0,,21.14282051282225,108.3903732
2007,1.69,,296,2.79,,,632,,,2.79,757981.0,,,,0.73,1234.0,,20028.0,,23.161666666668225,82.35511017
2008,1.81,29.0,341,4.5,29.0,156.0,873,1.5,44981.0,4.5,928981.0,8768.0,1.5,554.0,3.56,1474.7,1800.0,23619.0,698994.0,20.25,62.01593399
2009,2.13,131.0,630,6.07,131.0,289.0,1040,1.6,27222.0,6.07,1175474.0,22616.0,1.6,1046.0,0.56,1620.3,2001.0,26211.0,249246.0,24.14,69.94200134
2010,2.5,,714,7.47,,,1019,1.7,,7.47,1422673.0,,1.7,,3.27,2020.5,2036.0,30680.0,,30.53,66.85314941
2011,2.4,379.0,765,9.83,379.0,386.0,1489,1.6,73969.0,9.83,1732237.0,57760.0,1.6,1587.0,3.46,2463.8,2079.0,37584.0,1350545.0,33.52,87.32746887
2012,2.61,388.0,1093,12.06,388.0,623.0,1824,1.7,101396.0,12.06,,78093.0,1.7,2767.0,0.57,2789.4,2218.0,41682.0,1344677.0,32.47,137.9166565
2013,2.57,683.0,1331,13.83,683.0,748.0,2359,2.0,114916.0,13.83,2222868.0,93567.0,2.0,2882.0,3.87,3115.9,2253.0,46333.0,1601202.0,37.75,104.4575119
2014,2.6,1217.0,1597,13.53,1217.0,706.0,2416,2.2,116939.0,13.53,2413904.0,111010.0,2.2,3484.0,0.65,3449.0,2317.0,51248.0,1482605.0,43.04,104.1060638
2015,2.7,1378.0,2061,12.38,1378.0,441.0,3127,2.2,105791.0,12.38,2809962.0,111841.0,2.2,3325.0,2.19,3734.2,2290.0,59332.0,1330871.0,44.15,76.61567688
2016,2.8,1657.0,1939,15.69,1657.0,508.0,3658,2.1,117659.0,15.69,3068767.0,79819.0,2.1,2688.0,3.44,4090.2,2258.0,68888.0,1265915.0,40.84,87.72315216
2017,2.8,1656.0,2133,12.47,1656.0,443.0,4564,2.0,108956.0,12.47,3390271.0,74815.0,2.0,1971.0,4.11,4497.5,2261.0,78517.0,1306518.0,42.91,57.19842529
2018,2.92,1258.0,3292,15.04,1258.0,576.0,6451,2.0,147630.0,15.04,3777479.0,113708.0,2.0,1971.0,6.94,4910.7,2305.0,90573.0,1053103.0,45.05,62.31968398065874
2019,3.12,1501.0,4423,30.1,1501.0,734.0,9302,2.1,159612.0,30.1,4243935.0,108154.0,2.1,1779.0,9.11,5330.8,2497.0,92199.0,935498.0,40.76,57.24493830560277
2020,3.15,1875.0,8578,35.67,1875.0,926.0,14360,2.5,213111.0,35.67,4632077.0,117021.0,2.5,2050.0,20.19,5566.2,2764.0,101088.0,1347310.0,49.40666666666812,52.17019263054863
2021,2.99,2348.0,13632,40.47,2348.0,1613.0,17679,3.1,281651.0,40.47,4648209.0,141545.0,3.1,2911.0,28.42,6504.1,2839.0,112790.0,2445040.0,51.425512820514086,47.09544695549266
2022,3.08,2873.0,13148,69.16,2873.0,1567.0,17273,3.2,471074.0,69.16,,149370.0,3.2,3961.0,31.55,6818.2,2999.0,129826.0,3723463.0,53.44435897436006,42.02070128043852
