Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,1077.0,3280,,1077.0,1127.0,7960,,307234.0,,2985502.0,263306.0,,21065.0,46.17,5546.8,,,5087244.0,13.654557109558482,100.6415558
2005,14.74,,3860,,,,11534,,,,3392273.0,,,,50.18,6469.7,,,,14.531270396271792,83.63594818
2006,14.81,,4734,,,,14576,,,,2904962.0,,,,44.44,7531.8,,24385.0,,15.407983682984876,98.56306458
2007,15.78,,6616,18.76,,,17376,,,18.76,3689008.0,,,,52.21,9451.4,,28952.0,,16.28469696969819,46.57546234
2008,16.77,2047.0,8374,23.06,2047.0,3650.0,21147,10.1,1052415.0,23.06,4519593.0,872514.0,10.1,42282.0,62.9,11497.5,2724.0,32107.0,17979118.0,18.71,83.23725891
2009,18.26,3834.0,11357,25.33,3834.0,7899.0,27206,10.7,1612357.0,25.33,5194495.0,1205733.0,10.7,50425.0,77.03,13192.1,2829.0,39246.0,18116899.0,18.95,61.8845253
2010,20.25,,17362,30.09,,,31311,10.8,,30.09,5869164.0,,10.8,,90.72,16226.9,2906.0,45518.0,,14.85,83.73143768
2011,21.1,5379.0,19035,44.19,5379.0,9893.0,42510,11.6,2435245.0,44.19,6844038.0,2107553.0,11.6,71281.0,125.69,19942.5,2991.0,48816.0,30994175.0,15.44,92.18626404
2012,21.69,7025.0,24475,54.39,7025.0,12592.0,51316,13.5,2937086.0,54.39,,2633099.0,13.5,77087.0,196.39,22590.9,3078.0,51212.0,36984125.0,21.22,120.372139
2013,21.52,8745.0,28760,77.21,8745.0,16321.0,50816,15.1,3317175.0,77.21,8972278.0,3117987.0,15.1,85826.0,397.62,25378.0,3144.0,61121.0,46544784.0,20.81,97.28448486
2014,20.38,12444.0,28290,134.46,12444.0,16839.0,59050,15.2,3646332.0,134.46,9874547.0,3629506.0,15.2,91456.0,580.68,28242.1,3121.0,68102.0,52745891.0,25.93,76.98989868
2015,20.77,16965.0,38781,157.36,16965.0,17315.0,74240,16.3,3644392.0,157.36,11435059.0,4072726.0,16.3,86813.0,789.34,30344.0,3038.0,74574.0,56769152.0,28.04,103.7787781
2016,21.28,23972.0,41822,190.11,23972.0,19574.0,95157,15.8,4076507.0,190.11,13009264.0,4459622.0,15.8,96340.0,903.84,33353.0,2950.0,81015.0,67132019.0,27.73,139.5249634
2017,21.3,25568.0,46369,234.27,25568.0,22244.0,110234,15.4,4640613.0,234.27,13821834.0,4689377.0,15.4,94241.0,1033.08,37235.0,3000.0,93369.0,75234883.0,25.29,99.25975037
2018,21.46,32421.0,64106,268.49,32421.0,28003.0,124535,15.8,5854098.0,268.49,14578340.0,5255194.0,15.8,105041.0,1204.09,42022.0,3088.0,103272.0,88629723.0,24.07,94.68513664241902
2019,21.74,38000.0,73940,319.28,38000.0,35149.0,141321,17.0,6909409.0,319.28,16067052.0,5865143.0,17.0,115743.0,1429.84,45429.0,3248.0,114627.0,97076662.0,22.76,94.21471877752754
2020,22.35,49197.0,110102,287.85,49197.0,44035.0,163613,17.1,7280674.0,287.85,16783125.0,6109588.0,17.1,125066.0,1665.81,43004.5,3598.0,123331.0,95968820.0,27.681969696970327,93.74430091263604
2021,22.47,61986.0,155169,314.57,61986.0,54807.0,175312,17.3,9324551.0,314.57,17932016.0,7235941.0,17.3,147504.0,2090.78,50091.2,3914.0,135198.0,136955566.0,28.55868298368364,93.27388304774443
2022,23.71,81317.0,160849,376.55,81317.0,59771.0,202118,17.5,10491710.0,376.55,,7931580.0,17.5,168695.0,3010.0,53734.9,4110.0,146623.0,148093045.0,29.435396270396723,92.80346518285296
