Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,1472.0,3281,,1472.0,1719.0,7693,,176680.0,,2724014.0,186180.0,,15057.0,40.83,5542.6,,,4572202.0,10.718240093240524,129.02948
2005,10.63,,3659,,,,8763,,,,3234353.0,,,,41.74,6369.9,,,,11.1354428904433,148.2594757
2006,10.95,,5608,,,,10249,,,,3338525.0,,,,45.53,7431.6,,21407.0,,11.552645687646075,69.90110016
2007,12.37,,5687,20.49,,,11233,,,20.49,4196365.0,,,,46.08,9285.5,,26739.0,,11.969848484848852,44.55746841
2008,13.18,2356.0,6133,26.59,2356.0,3204.0,14016,6.8,1004659.0,26.59,5066050.0,811298.0,6.8,32465.0,47.7,11307.4,1966.0,31400.0,16020244.0,14.0,44.22720337
2009,14.51,7864.0,8309,29.62,7864.0,7790.0,15948,7.6,1333370.0,29.62,5660684.0,1096144.0,7.6,38041.0,44.04,12772.8,2040.0,32558.0,231887749.0,15.42,61.79263306
2010,15.31,,13873,35.04,,,22381,8.3,,35.04,6497608.0,,8.3,,40.09,15574.3,2051.0,36381.0,,11.63,47.93385315
2011,15.4,7432.0,16064,41.96,7432.0,12808.0,29516,8.5,2089970.0,41.96,7987607.0,1817773.0,8.5,57478.0,35.39,18915.0,2054.0,41841.0,37595209.0,9.31,50.18350983
2012,16.48,8436.0,23212,48.19,8436.0,16204.0,35709,9.5,2384102.0,48.19,,2290877.0,9.5,69784.0,42.24,21207.2,2087.0,45204.0,47689791.0,13.21,89.07274628
2013,16.39,10512.0,24392,55.46,10512.0,17424.0,41336,12.4,2959845.0,55.46,10784551.0,2703987.0,12.4,73558.0,77.21,23545.2,2106.0,47101.0,57246324.0,13.53,127.3790665
2014,16.54,14415.0,26637,59.38,14415.0,17919.0,44194,12.9,3151100.0,59.38,11285463.0,3100446.0,12.9,77428.0,97.93,25881.3,2160.0,49931.0,63103689.0,16.22,110.1933746
2015,16.77,19087.0,34075,66.26,19087.0,18175.0,54501,11.5,3315134.0,66.26,12223238.0,3525450.0,11.5,83821.0,105.06,28538.6,2215.0,55910.0,73497969.0,16.79,78.95990753
2016,17.32,22315.0,34050,71.44,22315.0,18249.0,67779,11.7,3585267.0,71.44,13781959.0,3929647.0,11.7,86440.0,105.63,30853.5,2251.0,62232.0,80984709.0,15.65,58.70393753
2017,17.83,26697.0,37916,91.42,26697.0,21319.0,77934,11.4,4857534.0,91.42,15165690.0,4617716.0,11.4,94228.0,203.19,33828.1,2419.0,71425.0,85857213.0,17.4,54.22574615
2018,18.39,33659.0,48957,129.94,33659.0,26339.0,94503,11.2,5417313.0,129.94,16300603.0,5167217.0,11.2,102800.0,281.61,36329.7,2610.0,84226.0,76162442.0,18.32,36.693974043852
2019,18.88,39642.0,54685,171.92,39642.0,30900.0,106113,13.4,6593679.0,171.92,17753672.0,5931485.0,13.4,106946.0,490.69,39894.1,2873.0,87971.0,81053560.0,14.7,29.92391811414018
2020,19.57,39805.0,78723,220.66,39805.0,36209.0,128573,13.3,7509542.0,220.66,18852587.0,6645286.0,13.3,121470.0,735.95,41542.6,3149.0,98683.0,83879023.0,17.393484848484945,23.153862184428363
2021,20.1,46937.0,98936,217.3,46937.0,40576.0,114167,13.4,9416664.0,217.3,20038528.0,7661149.0,13.4,143908.0,1261.26,45713.5,3487.0,108870.0,121692312.0,17.81068764568772,16.383806254718365
2022,22.48,58360.0,92916,279.65,58360.0,43973.0,114087,12.9,10651767.0,279.65,,8588734.0,12.9,174121.0,2542.89,48670.4,3738.0,115976.0,137717233.0,18.227890442890494,9.61375032500655
