Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,266.0,514,,266.0,227.0,910,,18367.0,,1031445.0,46215.0,,4888.0,11.96,1653.6,,,446930.0,7.525221445223451,96.68829346
2005,3.78,,547,,,,1759,,,,1195074.0,,,,17.27,1864.6,,,,8.736864801866886,95.51115417
2006,4.44,,832,,,,1460,,,,1321480.0,,,,21.45,2203.0,,20167.0,,9.948508158510322,102.9588089
2007,5.18,,1025,7.31,,,1608,,,7.31,1672565.0,,,,26.21,2675.1,,23397.0,,11.160151515153302,63.53619766
2008,5.82,356.0,1047,9.47,356.0,854.0,2178,4.9,179485.0,9.47,2310200.0,172353.0,4.9,10035.0,29.76,3071.7,1687.0,26746.0,2337574.0,13.03,65.8716507
2009,6.25,790.0,1274,10.18,790.0,693.0,2676,5.0,163449.0,10.18,2761110.0,189931.0,5.0,10239.0,35.63,3268.3,1806.0,30173.0,2348957.0,13.14,79.96876526
2010,6.6,,1868,10.89,,,3558,5.2,,10.89,3106736.0,,5.2,,43.08,3943.7,1882.0,34730.0,,12.75,96.85956573
2011,6.8,493.0,2383,13.22,493.0,1053.0,5287,5.0,273986.0,13.22,3608174.0,257916.0,5.0,9307.0,52.64,4816.9,2041.0,34475.0,5026884.0,10.23,71.07035065
2012,7.16,855.0,3662,16.19,855.0,1713.0,8261,5.6,350314.0,16.19,,337785.0,5.6,11445.0,73.06,5393.1,2145.0,41814.0,5954233.0,18.63,97.91391754
2013,7.16,1028.0,4737,19.76,1028.0,2440.0,10976,6.9,403460.0,19.76,4811034.0,400743.0,6.9,12472.0,99.99,6014.5,2193.0,49957.0,6185275.0,19.34,81.2922287
2014,7.28,1265.0,5097,21.16,1265.0,2558.0,12020,7.0,480268.0,21.16,5181631.0,464410.0,7.0,14380.0,114.52,6518.4,2219.0,58166.0,7193529.0,24.08,120.1068954
2015,7.1,1884.0,6912,29.85,1884.0,2230.0,14584,7.0,392974.0,29.85,6134547.0,486077.0,7.0,12578.0,129.7,6556.6,2194.0,67352.0,5740962.0,25.58,110.9888763
2016,7.23,2427.0,7975,26.23,2427.0,2600.0,20276,6.9,397701.0,26.23,6706137.0,509228.0,6.9,12610.0,150.66,6907.9,2189.0,75114.0,3031098.0,23.55,171.2811279
2017,7.16,2796.0,9672,25.83,2796.0,3102.0,24448,7.1,369544.0,25.83,7087547.0,466912.0,7.1,10096.0,162.96,7336.7,2217.0,85197.0,3461052.0,23.63,137.8933868
2018,7.28,3208.0,13958,25.74,3208.0,3342.0,27882,6.5,456615.0,25.74,7404892.0,476151.0,6.5,8026.0,180.88,8104.1,2258.0,94087.0,2751331.0,24.7,115.4078538306544
2019,7.3,3413.0,14894,29.39,3413.0,3393.0,27637,6.6,457278.0,29.39,7998741.0,505544.0,6.6,8547.0,196.42,8718.3,2396.0,99718.0,5527138.0,19.77,116.91219341347188
2020,7.4,4017.0,20991,32.07,4017.0,3829.0,30732,7.3,436109.0,32.07,8440554.0,521334.0,7.3,8614.0,233.16,8979.7,2627.0,105441.0,5780308.0,26.9115151515166,118.41653299628932
2021,7.61,4842.0,26056,34.95,4842.0,4645.0,30165,7.6,540833.0,34.95,8498438.0,642948.0,7.6,12547.0,280.39,10225.5,2999.0,111817.0,7662666.0,28.12315850816003,119.92087257910634
2022,7.55,5733.0,22490,47.69,5733.0,5979.0,32512,7.9,686626.0,47.69,,720007.0,7.9,14487.0,335.84,11201.6,3215.0,117070.0,11219647.0,29.33480186480301,121.4252121619238
