Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,,23,,,1.0,62,,22.0,,234500.0,10.0,,4.0,,217.9,,,559.0,13.635081585083752,36.43266296
2005,0.46,,44,,,,102,,,,301722.0,,,,,243.1,,,,15.822529137531092,102.3633575
2006,0.48,,81,,,,89,,,,276921.0,,,,,285.9,,34427.0,,18.00997668997843,73.32458496
2007,0.46,,68,1.93,,,97,,,1.93,420562.0,,,,,344.1,,53223.0,,20.19742424242668,82.36413574
2008,0.47,19.0,93,2.9,19.0,22.0,350,0.6,7674.0,2.9,494122.0,4536.0,0.6,39.0,,398.2,1279.0,48289.0,31384.0,16.66,108.65734164371496
2009,0.5,40.0,292,2.69,40.0,24.0,195,0.7,2102.0,2.69,597448.0,6376.0,0.7,378.0,,445.7,1317.0,52140.0,48166.0,15.79,19.65564537
2010,0.5,,124,2.71,,,162,0.7,,2.71,662293.0,,0.7,,,512.9,1373.0,63810.0,,24.58,34.93079376
2011,0.51,58.0,142,3.38,58.0,20.0,263,0.7,2776.0,3.38,826102.0,1637.0,0.7,22.0,,611.5,1446.0,58791.0,17728.0,37.13,136.7898865
2012,0.56,71.0,133,5.09,71.0,18.0,170,1.1,1986.0,5.09,,5312.0,1.1,78.0,,710.2,1508.0,50876.0,21004.0,42.04,163.0070801
2013,0.57,32.0,121,4.17,32.0,9.0,203,1.1,1177.0,4.17,1206744.0,4617.0,1.1,81.0,,828.2,1528.0,60332.0,23454.0,38.41,224.8950348
2014,0.56,44.0,146,4.42,44.0,18.0,248,1.1,1752.0,4.42,1529504.0,2943.0,1.1,130.0,,939.7,1676.0,64000.0,,38.21,173.5859222
2015,0.61,90.0,198,5.41,90.0,17.0,309,1.2,2986.0,5.41,1919434.0,2602.0,1.2,43.0,,1043.0,1766.0,99194.0,56367.0,38.36,157.2432404
2016,0.6,115.0,245,4.81,115.0,44.0,712,1.2,3630.0,4.81,1857714.0,4003.0,1.2,208.0,,1173.0,1765.0,103906.0,78690.0,35.43,77.44787598
2017,0.58,96.0,420,8.49,96.0,20.0,1097,1.0,3270.0,8.49,2387658.0,3186.0,1.0,202.0,0.04,1349.0,1678.0,116031.0,94173.0,40.19,163.8305817
2018,0.61,82.0,755,8.12,82.0,39.0,1469,0.8,4547.0,8.12,2562958.0,8625.0,0.8,326.0,0.04,1548.4,1616.0,126104.0,181067.0,43.32,150.6826403040723
2019,0.68,156.0,1020,7.28,156.0,51.0,2304,1.2,6657.0,7.28,2881230.0,5574.0,1.2,264.0,0.96,1697.8,1588.0,134475.0,230104.0,42.87,154.88517017010963
2020,0.73,185.0,1702,8.99,185.0,92.0,2296,1.0,11290.0,8.99,3164861.0,8944.0,1.0,190.0,0.78,1902.7,1629.0,131623.0,34487.0,48.63424242424389,159.08770003614518
2021,0.72,227.0,1929,8.34,227.0,100.0,2644,1.1,20691.0,8.34,3335508.0,24782.0,1.1,266.0,1.73,2080.2,1634.0,145640.0,54323.0,50.82168997669123,163.29022990218073
2022,0.7,314.0,2127,8.31,314.0,97.0,3135,1.1,12625.0,8.31,,17043.0,1.1,173.0,6.21,2132.6,1666.0,154056.0,84198.0,53.00913752913948,167.49275976821627
