Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,212.0,737,,212.0,335.0,1486,,61168.0,,1142162.0,64875.0,,3927.0,1.35,1649.4,,,757732.0,19.418857808857886,160.2682037
2005,3.24,,925,,,,2226,,,,1394867.0,,,,1.05,1939.9,,,,19.44459207459215,165.9200134
2006,3.24,,1337,,,,2674,,,,1549737.0,,,,0.54,2264.1,,20308.0,,19.47032634032641,71.96125793
2007,3.95,,1727,9.98,,,2759,,,9.98,2070113.0,,,,0.66,2847.5,,23656.0,,19.496060606060663,95.13724518
2008,4.01,701.0,1728,12.99,701.0,1049.0,2943,3.8,186476.0,12.99,2709138.0,145973.0,3.8,6134.0,2.04,3504.5,969.0,25942.0,1854262.0,19.32,72.76329041
2009,4.93,781.0,2084,14.27,781.0,1481.0,3709,4.6,258805.0,14.27,3094113.0,187695.0,4.6,7234.0,1.78,3856.7,1043.0,28087.0,1891156.0,20.85,89.14916229
2010,5.36,,3086,16.66,,,4414,4.3,,16.66,3669550.0,,4.3,,7.72,4519.0,1109.0,29670.0,,19.48,76.35639191
2011,5.76,990.0,3386,21.68,990.0,2034.0,8351,4.6,362492.0,21.68,4510531.0,275217.0,4.6,9564.0,13.65,5615.6,1254.0,34906.0,4442117.0,17.4,57.48607254
2012,6.48,1370.0,6059,28.98,1370.0,2794.0,11296,5.4,400699.0,28.98,,315079.0,5.4,12135.0,9.67,6742.2,1392.0,39087.0,3832764.0,16.68,111.5642242
2013,6.68,1985.0,7915,34.27,1985.0,3446.0,17405,6.5,403004.0,34.27,6799795.0,342541.0,6.5,16049.0,18.4,7973.1,1535.0,45749.0,3683200.0,18.06,88.14046478
2014,6.57,3146.0,10107,44.34,3146.0,4051.0,22467,7.7,383864.0,44.34,7700061.0,410132.0,7.7,15659.0,20.04,9173.1,1690.0,57290.0,4083736.0,22.81,74.59074402
2015,6.44,4096.0,14115,58.68,4096.0,3782.0,18295,7.7,424215.0,58.68,9277347.0,457303.0,7.7,14916.0,25.96,10541.0,1819.0,64338.0,3944834.0,23.71,103.477417
2016,8.15,5411.0,10425,69.3,5411.0,4341.0,25315,7.3,550466.0,69.3,10335342.0,556853.0,7.3,15774.0,20.44,11792.4,2005.0,72107.0,5752002.0,21.36,99.06858063
2017,8.67,6805.0,12559,87.72,6805.0,5344.0,34610,7.2,577811.0,87.72,12488005.0,648576.0,7.2,18786.0,80.74,13605.4,2129.0,79826.0,6055568.0,19.69,90.86172485
2018,9.18,6544.0,19456,102.88,6544.0,5976.0,44508,6.7,736265.0,102.88,12732768.0,762280.0,6.7,20041.0,171.1,15353.2,2254.0,87726.0,7469914.0,21.09,47.9270329735009
2019,9.47,7740.0,24729,114.13,7740.0,6919.0,44328,4.8,856777.0,114.13,13622935.0,910206.0,4.8,23164.0,227.18,16769.3,2453.0,95520.0,8188302.0,15.51,40.48216232685445
2020,9.64,8487.0,34971,113.19,8487.0,7227.0,49200,5.5,960411.0,113.19,14479368.0,1053574.0,5.5,26261.0,249.11,17860.4,2654.0,103864.0,8760932.0,19.83060606060603,33.037291680208
2021,8.96,9357.0,39267,88.34,9357.0,8372.0,41733,5.5,1054368.0,88.34,15080783.0,1210567.0,5.5,26717.0,289.27,19458.6,2593.0,109495.0,10207676.0,19.856340326340288,25.59242103356155
2022,8.99,10342.0,29382,88.86,10342.0,9294.0,40555,5.3,1181164.0,88.86,,1317509.0,5.3,29129.0,390.72,20164.6,2608.0,119281.0,13598616.0,19.882074592074545,18.1475503869151
