Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,896.0,5749,,896.0,1230.0,14695,,550115.0,,2700789.0,759634.0,,32436.0,75.28,6469.8,,,9397620.0,13.159195804198134,102.2293472
2005,12.3,,6195,,,,15672,,,,3164488.0,,,,86.52,7260.8,,,,15.540069930071695,143.2999115
2006,13.24,,7399,,,,17052,,,,3282283.0,,,,80.65,8390.3,,26377.0,,17.920944055946165,109.8969803
2007,14.33,,9615,38.69,,,19518,,,38.69,4122455.0,,,,92.93,10292.2,,31480.0,,20.301818181819726,211.3665466
2008,14.64,1496.0,10665,49.02,1496.0,3678.0,20893,10.2,1354279.0,49.02,4792311.0,1378167.0,10.2,45568.0,99.73,12137.7,2621.0,37816.0,19196748.0,26.23,255.2959595
2009,15.16,3061.0,12198,57.49,3061.0,6402.0,25803,10.8,2248810.0,57.49,5349184.0,1654323.0,10.8,48112.0,119.71,12815.7,2659.0,42903.0,25868782.0,24.88,57.96701431
2010,15.52,,17093,68.9,,,34216,12.0,,68.9,6242615.0,,12.0,,130.68,13896.3,2671.0,48030.0,,24.01,51.39707947
2011,16.16,4207.0,19176,87.2,4207.0,8363.0,37102,13.9,2866543.0,87.2,7809413.0,2747063.0,13.9,47513.0,159.66,16354.9,2712.0,54741.0,29599589.0,24.87,57.78704453
2012,16.82,5054.0,21223,101.24,5054.0,9958.0,41152,15.8,2886302.0,101.24,,2894569.0,15.8,52064.0,230.66,17848.6,2811.0,55447.0,31936021.0,34.39,62.78820419
2013,17.51,6923.0,21656,118.99,6923.0,11628.0,45996,16.9,3360539.0,118.99,9302062.0,3331303.0,16.9,59090.0,173.38,19208.8,2903.0,59624.0,40931774.0,37.2,74.74252319
2014,18.05,9055.0,19525,108.82,9055.0,12098.0,37860,16.9,3173187.0,108.82,8700533.0,3242303.0,16.9,63374.0,217.46,20025.7,2933.0,62443.0,40369623.0,38.03,112.7904129
2015,16.6,10372.0,25182,68.92,10372.0,9190.0,42153,15.9,2442027.0,68.92,8781171.0,2418803.0,15.9,49097.0,267.49,20210.3,2876.0,66150.0,33373490.0,35.95,49.52350235
2016,16.6,14188.0,25104,61.61,14188.0,9709.0,52603,13.8,2391496.0,61.61,9206907.0,2420637.0,13.8,49254.0,323.22,20392.5,2845.0,70180.0,33872375.0,43.95,80.5438385
2017,16.63,19028.0,26495,57.38,19028.0,11206.0,49871,12.1,3058148.0,57.38,9651893.0,2749477.0,12.1,49463.0,385.83,21693.0,2859.0,74469.0,36962037.0,45.72,91.38005066
2018,16.84,21089.0,35149,75.05,21089.0,12485.0,65686,10.4,3062357.0,75.05,9759379.0,3006014.0,10.4,53133.0,474.49,23510.5,2866.0,86988.0,45567574.0,47.3,84.91754551993336
2019,16.95,22848.0,40037,74.03,22848.0,13783.0,69732,9.8,3420219.0,74.03,10593957.0,3102482.0,9.8,52104.0,557.59,24855.3,3136.0,98090.0,42835981.0,46.8,83.46376035331878
2020,17.51,28788.0,60185,72.71,28788.0,17790.0,86527,10.5,3584102.0,72.71,10988599.0,3353222.0,10.5,59978.0,632.81,25011.4,3487.0,102297.0,44409366.0,51.253181818182384,82.00997518670374
2021,17.45,31740.0,80191,78.45,31740.0,20104.0,88504,10.7,3824926.0,78.45,11110019.0,3672792.0,10.7,63156.0,755.12,27569.5,3742.0,106778.0,50108739.0,53.63405594405685,80.5561900200887
2022,18.1,38171.0,77434,74.35,38171.0,21581.0,97292,10.1,4303272.0,74.35,,3756732.0,10.1,67503.0,971.35,28975.1,3931.0,119735.0,51025506.0,56.014930069930415,79.10240485347367
