Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,484.0,3601,,484.0,2918.0,5171,,172622.0,,1434395.0,154250.0,,11111.0,59.62,3059.5,,,5089043.0,10.329930069932288,79.76878357
2005,5.95,,3591,,,,6260,,,,1731033.0,,,,35.71,3448.4,,,,12.072832167834347,110.1093445
2006,6.64,,4590,,,,6471,,,,1681572.0,,,,55.35,3900.3,,27813.0,,13.81573426573641,67.35923767
2007,7.17,,4994,11.05,,,6715,,,11.05,2309734.0,,,,39.57,4770.7,,33253.0,,15.55863636363847,87.61807251
2008,7.63,1058.0,4820,15.13,1058.0,4490.0,8324,5.3,630399.0,15.13,2662580.0,465280.0,5.3,23174.0,62.19,5899.5,2192.0,41326.0,16811441.0,15.6,86.53533936
2009,8.52,1584.0,7501,15.55,1584.0,5567.0,13482,5.4,766572.0,15.55,3309977.0,564856.0,5.4,23279.0,38.32,6651.2,2317.0,47818.0,19029836.0,17.44,115.6586685
2010,9.64,,12080,17.9,,,22825,5.5,,17.9,4068437.0,,5.5,,79.44,8065.3,2413.0,55381.0,,18.28,98.95934296
2011,10.17,2532.0,15525,25.04,2532.0,8121.0,32039,5.1,1073308.0,25.04,5039550.0,943975.0,5.1,27652.0,68.15,10161.2,2522.0,65560.0,30280328.0,23.44,91.25101471
2012,11.04,3714.0,20364,29.84,3714.0,9784.0,38924,5.7,1266058.0,29.84,,1171045.0,5.7,31577.0,54.02,11595.4,2734.0,71712.0,24299198.0,23.81,111.027298
2013,10.52,4792.0,24828,38.65,4792.0,12221.0,49036,6.4,1438649.0,38.65,6565622.0,1388199.0,6.4,36605.0,90.28,13027.6,2894.0,78204.0,26961130.0,24.65,85.65671539
2014,10.61,6272.0,24312,38.16,6272.0,12908.0,55298,7.7,1863801.0,38.16,6979973.0,1664720.0,7.7,43797.0,156.2,14623.8,3017.0,83498.0,36107819.0,32.49,100.6342392
2015,11.0,6328.0,38914,45.67,6328.0,20239.0,82791,8.0,2388537.0,45.67,7971003.0,1996609.0,8.0,45129.0,57.24,16040.5,3071.0,87023.0,45351174.0,36.33,97.9871521
2016,11.16,8585.0,42738,51.62,8585.0,17511.0,59518,8.1,3025777.0,51.62,8863208.0,2374859.0,8.1,47392.0,147.19,18023.0,3059.0,92787.0,50143454.0,36.11,95.28406525
2017,11.29,12472.0,34780,59.31,12472.0,17269.0,64648,8.2,3252278.0,59.31,9483526.0,2799986.0,8.2,56416.0,51.36,20066.3,3084.0,102239.0,53227016.0,31.52,107.0997543
2018,11.39,17579.0,45688,68.59,17579.0,18049.0,72121,8.2,3094253.0,68.59,10216274.0,2992091.0,8.2,61956.0,188.35,21588.8,3081.0,115365.0,42163130.0,33.59,89.15660180124041
2019,11.77,18281.0,43872,79.23,18281.0,16650.0,67271,7.6,3421298.0,79.23,11442967.0,3358918.0,7.6,62424.0,56.65,23605.8,3258.0,128155.0,43654109.0,29.39,87.89537856078641
2020,11.98,20650.0,55377,82.87,20650.0,19736.0,83826,7.7,3972680.0,82.87,11823943.0,3725610.0,7.7,69843.0,117.79,25041.4,3438.0,135736.0,58806719.0,38.2163636363648,86.63415532033196
2021,11.97,24388.0,76206,92.64,24388.0,22240.0,83555,8.2,4904174.0,92.64,12761688.0,4245267.0,8.2,83845.0,184.52,28077.3,3605.0,149205.0,69951788.0,39.959265734266864,85.37293207987796
2022,12.27,27681.0,66467,98.89,27681.0,26245.0,86751,8.4,5440210.0,98.89,,4793346.0,8.4,83623.0,559.47,29129.0,3838.0,147217.0,67957239.0,41.702167832168925,84.11170883942395
