Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,344.0,2007,,344.0,529.0,3217,,175951.0,,2047443.0,257862.0,,15714.0,13.91,3141.6,,,2181959.0,20.61891608391716,112.9485931
2005,10.26,,1894,,,,4166,,,,2331533.0,,,,18.9,3817.2,,,,21.636398601399836,97.26610565
2006,11.04,,2473,,,,5717,,,,2288723.0,,,,17.95,4595.6,,23486.0,,22.65388111888228,58.72007751
2007,12.2,,3451,13.3,,,8499,,,13.3,2855270.0,,,,30.17,5681.8,,30413.0,,23.67136363636473,71.16720581
2008,13.16,931.0,4392,17.14,931.0,1756.0,11898,11.5,459448.0,17.14,3806168.0,436433.0,11.5,26600.0,43.83,7177.8,2880.0,36815.0,4877838.0,24.54,93.37413025
2009,14.04,1636.0,6087,20.84,1636.0,2642.0,15570,12.8,701121.0,20.84,4637457.0,582497.0,12.8,25897.0,69.81,7997.8,3045.0,39550.0,6566624.0,24.78,83.76361847
2010,15.49,,10034,25.25,,,22949,12.8,,25.25,5143635.0,,12.8,,102.41,9845.2,3208.0,48734.0,,27.5,105.7024307
2011,16.7,2464.0,11662,29.01,2464.0,4393.0,32227,14.4,1065457.0,29.01,6838342.0,966768.0,14.4,30829.0,215.37,12175.1,3378.0,56784.0,9657071.0,27.54,77.58244324
2012,18.68,4752.0,14908,34.94,4752.0,5467.0,43608,14.4,1285251.0,34.94,,1192770.0,14.4,36728.0,334.82,14142.4,3525.0,60394.0,8715851.0,29.7,149.3513489
2013,17.18,5449.0,20836,38.02,5449.0,7258.0,57287,16.7,1799803.0,38.02,8926920.0,1401480.0,16.7,45809.0,533.28,15905.4,3612.0,65546.0,10154791.0,30.1,129.648819
2014,16.84,6675.0,22820,44.86,6675.0,7354.0,56235,17.8,1710125.0,44.86,9101672.0,1606946.0,17.8,50753.0,640.02,17402.5,3652.0,63478.0,11267648.0,31.1,31.16792297
2015,15.94,7506.0,33350,57.28,7506.0,7521.0,74904,18.3,1637909.0,57.28,9674438.0,1725829.0,18.3,45052.0,721.82,17898.8,3628.0,67134.0,10409950.0,31.94,103.8978271
2016,16.1,11520.0,48455,62.01,11520.0,8142.0,69611,18.2,1898166.0,62.01,10049114.0,1844216.0,18.2,45362.0,802.79,19045.8,3540.0,72786.0,12364855.0,30.05,68.45171356
2017,16.46,14806.0,34554,79.34,14806.0,9232.0,98935,18.7,2042467.0,79.34,10545862.0,1963697.0,18.7,44672.0,920.94,21473.5,3582.0,79714.0,17148934.0,34.67,99.39268494
2018,16.74,16892.0,41479,87.22,16892.0,10182.0,76512,17.0,2350624.0,87.22,11375081.0,2165554.0,17.0,39315.0,1125.29,23941.9,3562.0,94877.0,20333648.0,36.5,74.17677900529088
2019,17.2,18774.0,44101,71.38,18774.0,12797.0,92087,12.9,2654451.0,71.38,12490355.0,2408037.0,12.9,42983.0,1467.35,25793.2,3812.0,98029.0,25660429.0,35.0,71.24247197426939
2020,17.75,21932.0,60524,56.45,21932.0,15187.0,99236,13.5,3063227.0,56.45,13169806.0,2684020.0,13.5,48809.0,1758.72,26014.1,4132.0,107580.0,24941898.0,36.89863636363725,68.3081649432479
2021,17.78,24226.0,86272,93.0,24226.0,16285.0,105652,13.5,3524257.0,93.0,14151375.0,3196867.0,13.5,50997.0,2343.44,30121.7,4279.0,118458.0,38113676.0,37.91611888111993,65.3738579122255
2022,18.14,27942.0,79375,109.78,27942.0,19071.0,108096,13.4,3767599.0,109.78,,3544104.0,13.4,60713.0,3048.73,32772.7,4409.0,139832.0,43640760.0,38.93360139860215,62.43955088120401
