Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,42.0,70,,42.0,73.0,124,,8848.0,,225275.0,20137.0,,1306.0,1.28,443.7,,,38551.0,24.9937645687653,115.9315643
2005,0.57,,79,,,,216,,,,287259.0,,,,1.18,499.4,,,,25.591701631702332,162.9694366
2006,0.59,,97,,,,325,,,,373988.0,,,,2.47,585.2,,35029.0,,26.18963869463937,88.09978485
2007,0.63,,222,2.52,,,387,,,2.52,458238.0,,,,5.3,720.1,,40976.0,,26.78757575757641,63.04919434
2008,0.68,262.0,228,3.97,262.0,81.0,431,1.7,28470.0,3.97,608034.0,25161.0,1.7,793.0,7.7,896.9,1033.0,44408.0,486195.0,27.11,72.51725006
2009,0.73,150.0,368,4.78,150.0,114.0,499,2.1,31629.0,4.78,785820.0,41322.0,2.1,1551.0,8.5,939.7,1080.0,45158.0,542937.0,23.09,78.755867
2010,0.76,,264,4.08,,,602,2.3,,4.08,1062206.0,,2.3,,11.41,1144.2,1119.0,48822.0,,26.32,41.71875
2011,0.8,87.0,538,3.76,87.0,168.0,732,2.7,34745.0,3.76,1552462.0,81965.0,2.7,1833.0,16.84,1370.4,1082.0,55466.0,86513.0,27.94,67.68321991
2012,0.85,170.0,527,7.18,170.0,215.0,844,2.8,74374.0,7.18,,84197.0,2.8,2020.0,19.3,1528.5,1133.0,60957.0,103773.0,31.95,97.36244965
2013,0.88,205.0,502,8.39,205.0,334.0,1099,2.3,87949.0,8.39,1569408.0,89540.0,2.3,2039.0,26.89,1713.3,1162.0,59097.0,125430.0,33.77,64.3587265
2014,0.87,246.0,619,10.39,246.0,384.0,1534,2.3,99766.0,10.39,1976886.0,92528.0,2.3,2068.0,29.1,1847.7,1220.0,61650.0,85659.0,34.96,115.631897
2015,0.89,271.0,1217,11.22,271.0,305.0,2590,2.2,98825.0,11.22,2073501.0,65029.0,2.2,1285.0,46.88,2011.0,1275.0,69678.0,228191.0,37.48,91.07539368
2016,0.92,393.0,1357,10.9,393.0,612.0,3284,2.2,62146.0,10.9,2162973.0,77940.0,2.2,1750.0,56.92,2258.2,1319.0,78808.0,379404.0,33.58,86.53347778
2017,0.99,399.0,1580,11.94,399.0,729.0,3181,2.3,87570.0,11.94,2343469.0,83276.0,2.3,1799.0,67.72,2465.1,1391.0,87248.0,1027045.0,32.64,79.26584625
2018,1.08,559.0,2668,12.8,559.0,859.0,4439,2.2,86575.0,12.8,2640309.0,67716.0,2.2,1157.0,79.36,2748.0,1426.0,98698.0,1232662.0,32.47,58.38237154417948
2019,1.11,760.0,3046,10.37,760.0,1088.0,5017,1.8,91755.0,10.37,2894894.0,93712.0,1.8,2379.0,9.1,2941.1,1486.0,100798.0,1233887.0,26.78,53.959168077368304
2020,0.98,1061.0,4693,10.56,1061.0,1423.0,6736,2.0,123063.0,10.56,2931351.0,103699.0,2.0,1557.0,10.56,3009.8,1499.0,109599.0,2094604.0,34.56075757575786,49.53596461055713
2021,1.22,1224.0,6591,12.19,1224.0,1354.0,7448,2.1,168851.0,12.19,3066904.0,138488.0,2.1,1626.0,14.1,3385.1,1613.0,117164.0,1714617.0,35.1586946386949,45.11276114374596
2022,1.23,1740.0,5276,9.45,1740.0,1423.0,7590,1.9,213279.0,9.45,,149214.0,1.9,1878.0,16.03,3610.1,1738.0,123405.0,3751761.0,35.75663170163193,40.68955767693478
