Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,606.0,2809,,606.0,861.0,4919,,110982.0,,2118831.0,196428.0,,21775.0,12.57,4134.7,,,1949849.0,14.110780885782331,111.9169388
2005,9.26,,2906,,,,6050,,,,2342133.0,,,,14.26,4756.4,,,,15.139207459209048,108.1655502
2006,9.68,,3622,,,,6535,,,,2230540.0,,,,15.69,5329.8,,21992.0,,16.167634032635306,70.32796478
2007,10.96,,4303,17.47,,,7242,,,17.47,2736590.0,,,,35.02,6126.3,,25658.0,,17.19606060606202,91.75671387
2008,11.27,1002.0,4574,20.09,1002.0,1320.0,7974,11.2,468122.0,20.09,3386551.0,505877.0,11.2,28283.0,41.26,7134.2,2352.0,34096.0,4529219.0,21.15,89.4747467
2009,12.04,1618.0,5079,19.96,1618.0,1797.0,9014,11.4,708150.0,19.96,3486163.0,627240.0,11.4,27658.0,48.86,7218.9,2420.0,42405.0,5097624.0,18.12,124.6998215
2010,12.41,,6780,27.69,,,10269,12.0,,27.69,4048565.0,,12.0,,52.91,8308.3,2447.0,39938.0,,19.21,76.00546265
2011,12.72,1532.0,12236,33.23,1532.0,2814.0,23432,12.2,745311.0,33.23,4838173.0,838042.0,12.2,39661.0,62.07,9935.0,2409.0,47545.0,5586813.0,19.58,73.35341644
2012,12.79,2055.0,20268,37.64,2055.0,3690.0,30610,11.9,779353.0,37.64,,906170.0,11.9,36256.0,100.45,11015.8,2441.0,57107.0,5655068.0,22.73,75.04206085
2013,12.53,2342.0,19819,38.61,2342.0,4282.0,32264,11.2,782854.0,38.61,6006258.0,950335.0,11.2,37296.0,101.77,11849.1,2529.0,60631.0,5825023.0,23.36,125.5699539
2014,12.5,3052.0,15412,39.46,3052.0,4267.0,31856,11.5,844603.0,39.46,6278812.0,955820.0,11.5,37509.0,120.28,12170.8,2555.0,62073.0,5272813.0,24.28,167.0654907
2015,12.34,3351.0,18943,42.91,3351.0,3902.0,34611,11.2,722307.0,42.91,7040039.0,880392.0,11.2,31762.0,127.26,11690.0,2518.0,66168.0,5110495.0,26.85,139.742157
2016,12.61,4716.0,18046,44.92,4716.0,4127.0,35293,11.1,696173.0,44.92,7336607.0,884925.0,11.1,32219.0,125.81,11895.0,2427.0,68514.0,5026218.0,25.67,81.40262604
2017,13.0,5760.0,18221,46.91,5760.0,3786.0,30958,10.7,669389.0,46.91,7545432.0,825854.0,10.7,24046.0,146.71,12313.0,2403.0,73978.0,6824812.0,25.72,7.519604683
2018,13.39,4708.0,19435,39.52,4708.0,2764.0,34582,9.2,532983.0,39.52,7612173.0,605680.0,9.2,13110.0,165.92,12846.5,2405.0,82607.0,5613764.0,29.17,83.10730278642723
2019,13.57,6232.0,19989,42.16,6232.0,4449.0,37313,8.6,748699.0,42.16,8115856.0,714862.0,8.6,15054.0,232.88,13544.4,2531.0,94140.0,7336240.0,30.73,81.23385820499152
2020,13.85,8260.0,28475,42.98,8260.0,5963.0,43252,5.6,915152.0,42.98,8422728.0,774634.0,5.6,14272.0,265.2,13633.4,2695.0,90288.0,8207463.0,30.56560606060657,79.36041362355581
2021,13.76,9611.0,38884,43.52,9611.0,6691.0,47577,6.0,1108843.0,43.52,8440981.0,887690.0,6.0,15444.0,350.14,14858.2,3448.0,97529.0,12522414.0,31.594032634033283,77.48696904212011
2022,14.17,10591.0,36551,46.47,10591.0,6551.0,49027,5.7,1352541.0,46.47,,979976.0,5.7,18483.0,460.18,15901.0,3734.0,104121.0,13954159.0,32.62245920746,75.61352446068395
