地区,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue
北京市,11.14,,11238,,,,26555,,,,3374329,,,,697.33,8387.0,,50853,
天津市,5.64,,4159,,,,13299,,,,1428992,,,,58.86,3538.2,,41473,
河北省,10.15,,4131,,,,7220,,,,3554401,,,,15.61,10043.0,,25895,
山西省,5.66,,1421,,,,2824,,,,2198470,,,,5.92,4713.6,,19008,
内蒙古自治区,3.51,,978,,,,1946,,,,1480999,,,,10.71,4161.8,,23721,
辽宁省,13.24,,7399,,,,17052,,,,3282283,,,,80.65,8390.3,,26377,
吉林省,8.6,,2319,,,,4578,,,,1724213,,,,15.37,3226.5,,19956,
黑龙江省,9.68,,3622,,,,6535,,,,2230540,,,,15.69,5329.8,,21992,
上海市,8.03,,16602,,,,36042,,,,3707275,,,,309.51,10598.9,,47822,
江苏省,19.06,,19352,,,,53267,,,,6845888,,,,68.83,21240.8,,36220,
浙江省,11.13,,30968,,,,52980,,,,6315051,,,,39.96,15302.7,,39682,
安徽省,8.93,,2235,,,,4679,,,,2775700,,,,18.49,6500.3,,20970,
福建省,7.13,,6412,,,,10351,,,,2771266,,,,11.32,7468.6,,27159,
江西省,7.79,,1536,,,,3171,,,,2213618,,,,9.31,4696.8,,20372,
山东省,15.89,,15937,,,,38284,,,,5471049,,,,23.2,18967.8,,26764,
河南省,12.34,,5242,,,,11538,,,,4179475,,,,23.73,11977.9,,22524,
湖北省,14.81,,4734,,,,14576,,,,2904962,,,,44.44,7531.8,,24385,
湖南省,10.95,,5608,,,,10249,,,,3338525,,,,45.53,7431.6,,21407,
广东省,15.51,,43516,,,,90886,,,,8654359,,,,107.03,25961.2,,46668,
广西壮族自治区,4.81,,1442,,,,2784,,,,2134365,,,,0.94,4417.8,,22046,
海南省,1.38,,248,,,,538,,,,558645,,,,0.85,1027.5,,16647,
重庆市,6.64,,4590,,,,6471,,,,1681572,,,,55.35,3900.3,,27813,
四川省,12.58,,7138,,,,13109,,,,3654194,,,,25.93,8494.7,,29754,
贵州省,3.24,,1337,,,,2674,,,,1549737,,,,0.54,2264.1,,20308,
云南省,4.8,,1637,,,,3085,,,,2311083,,,,8.27,4090.7,,20422,
西藏自治区,0.48,,81,,,,89,,,,276921,,,,,285.9,,34427,
陕西省,11.04,,2473,,,,5717,,,,2288723,,,,17.95,4595.6,,23486,
甘肃省,4.44,,832,,,,1460,,,,1321480,,,,21.45,2203.0,,20167,
青海省,0.59,,97,,,,325,,,,373988,,,,2.47,585.2,,35029,
宁夏回族自治区,1.01,,290,,,,671,,,,398718,,,,0.53,683.3,,22540,
新疆维吾尔自治区,2.92,,1187,,,,2256,,,,1532703,,,,7.61,2957.3,,21312,
