Year,财政收入稳健指数,EPU
2004,52.993881118891295,175.8169069253854
2005,61.41531468532412,261.1852417
2006,69.83674825176058,200.0944519
2007,78.2581818181934,49.58934784
2008,94.29,22.07696342
2009,94.6,47.22387695
2010,99.37,202.4058685
2011,107.44,368.3013916
2012,116.34,125.5246506
2013,123.77,115.5012817
2014,131.4,41.4438591
2015,152.13,117.7164841
2016,165.82,128.4771423
2017,169.04,80.68917847
2018,178.47,94.98766817922296
2019,163.3,89.21415112592513
2020,187.73681818182376,83.44063407262729
2021,196.1582517482566,77.66711701932945
2022,204.57968531469305,71.89359996603343
