Year,财政收入稳健指数,EPU
2004,20.558508158508317,122.2379913
2005,20.688752913753063,189.161972
2006,20.81899766899781,73.34391022
2007,20.949242424242556,45.13530731
2008,20.07,70.52397156
2009,20.64,77.13363647
2010,21.43,89.66098022
2011,17.1,66.48766327
2012,22.22,69.63764191
2013,23.11,87.53321075
2014,26.19,89.09380341
2015,25.07,60.41246796
2016,23.55,51.67253876
2017,21.74,38.87081146
2018,23.5,25.15884430051483
2019,16.93,17.1860692257178
2020,22.642424242424255,9.213294150918955
2021,22.772668997669,1.2405190761201084
2022,22.902913752913747,-6.732255998678738
