Year,财政收入稳健指数,EPU
2004,10.966363636368442,89.00912476
2005,14.427272727277341,75.05431366
2006,17.88818181818624,55.01266098
2007,21.34909090909514,58.89866638
2008,26.18,58.23931122
2009,27.43,51.67787933
2010,30.99,53.0760231
2011,36.89,136.8858948
2012,40.68,204.2150116
2013,42.95,139.7020416
2014,42.64,150.2648163
2015,46.87,130.8959045
2016,48.85,108.1842651
2017,56.79,76.54681396
2018,59.28,128.70519518644505
2019,66.59,132.23576396346652
2020,66.34090909091265,135.7663327404889
2021,69.80181818182155,139.29690151751038
2022,73.26272727273044,142.82747029453276
