Year,财政收入稳健指数,EPU
2004,68.71367132867636,27.16124916
2005,73.73381118881662,50.97663498
2006,78.75395104895688,45.60201263
2007,83.77409090909532,58.38241577
2008,90.2,55.74375916
2009,91.63,73.88547516
2010,92.17,56.85085678
2011,103.38,97.67198944
2012,111.47,229.4649506
2013,113.53,284.1075134
2014,118.61,246.0662231
2015,131.45,165.4047089
2016,135.35,47.85101318
2017,134.66,68.1627655
2018,144.09,166.25477641144425
2019,130.32,173.39515533978192
2020,149.03590909091326,180.5355342681214
2021,154.0560489510517,187.67591319645908
2022,159.07618881119197,194.81629212479857
