Year,财政收入稳健指数,EPU
2004,11.88973193473339,104.9140472
2005,13.491689976691305,109.7509079
2006,15.093648018649674,77.70635223
2007,16.695606060607588,108.8385239
2008,20.31,84.39645386
2009,21.37,107.928093
2010,18.19,85.81639862
2011,20.21,73.60977173
2012,24.1,118.4381332
2013,26.78,105.5281219
2014,29.67,82.41946411
2015,31.48,80.24269104
2016,31.72,104.2610016
2017,32.83,89.98912048
2018,33.1,83.96003399398569
2019,35.54,82.21624447189106
2020,37.52106060606138,80.47245494979597
2021,39.1230186480193,78.72866542770089
2022,40.72497668997721,76.98487590560626
