Year,财政收入稳健指数,EPU
2004,16.498578088578824,111.2088699
2005,17.060920745921294,121.7103958
2006,17.62326340326399,81.21134949
2007,18.185606060606688,102.0927658
2008,15.01,74.30741119
2009,16.97,78.72516632
2010,17.69,83.63172913
2011,21.86,81.31188965
2012,23.74,103.190567
2013,23.34,89.78116608
2014,26.7,128.6720276
2015,27.15,75.56231689
2016,26.15,78.97433472
2017,21.61,118.5892792
2018,22.19,89.20092320477124
2019,19.68,88.10498501047823
2020,25.496060606061064,87.00904681618522
2021,26.05840326340376,85.9131086218922
2022,26.620745920746458,84.8171704275992
