Year,财政收入稳健指数,EPU
2004,20.376153846160378,60.81855544319296
2005,26.980769230774968,68.35447277787716
2006,33.585384615391376,60.93883133
2007,40.190000000005966,120.6410828
2008,48.87,72.44786072
2009,49.36,69.71439362
2010,54.06,74.38202667
2011,66.52,107.9358215
2012,74.67,184.4468079
2013,82.93,173.0208588
2014,92.9,130.2878723
2015,104.68,131.8063965
2016,103.32,143.1006927
2017,92.76,139.3325806
2018,92.62,166.3213981287863
2019,134.75,173.8573154634705
2020,126.05000000000291,181.39323279815653
2021,132.65461538461932,188.92915013284073
2022,139.2592307692339,196.46506746752675
