Year,财政收入稳健指数,EPU
2004,10.765384615385528,99.1977005
2005,11.416923076923922,102.032814
2006,12.068461538462316,31.41127396
2007,12.72000000000071,49.52480698
2008,13.23,96.15454865
2009,12.55,89.30319214
2010,11.67,68.6650238
2011,15.89,56.52874374
2012,17.83,109.2135239
2013,14.65,91.27107239
2014,20.79,121.6516571
2015,24.2,110.3152237
2016,18.39,125.6614151
2017,16.95,111.6440353
2018,20.15,94.70356525522959
2019,17.16,94.20914692443512
2020,21.190000000000282,93.71472859364053
2021,21.841538461538676,93.22031026284606
2022,22.493076923077297,92.72589193205147
