Year,财政收入稳健指数,EPU
2004,11.00343822844161,201.3656158
2005,13.016585081588346,204.0461884
2006,15.029731934735082,127.1687927
2007,17.04287878788182,90.86557007
2008,22.28,57.1055336
2009,18.73,79.54727936
2010,19.73,88.95678711
2011,23.69,100.4068756
2012,26.8,148.5394897
2013,28.6,105.7788239
2014,34.21,78.71747589
2015,38.47,52.84608078
2016,36.17,55.01879883
2017,35.79,78.49134827
2018,36.9,46.75091540692301
2019,40.17,38.99527879441666
2020,43.213787878789844,31.239642181910313
2021,45.22693473193658,23.48400556940578
2022,47.24008158508332,15.72836895689943
