Year,财政收入稳健指数,EPU
2004,25.074044289045332,110.4215775
2005,25.925372960374034,149.2398529
2006,26.776701631702508,78.74526978
2007,27.62803030303121,48.38521194
2008,30.02,52.43194199
2009,29.07,64.63262939
2010,28.84,88.63748169
2011,30.88,79.32115173
2012,34.39,80.19204712
2013,34.14,130.3771362
2014,34.12,135.5765686
2015,31.25,116.1574631
2016,30.05,98.37980652
2017,34.81,189.1946869
2018,38.47,120.20189417170104
2019,41.9,122.17336427842974
2020,38.69530303030365,124.14483438515845
2021,39.54663170163235,126.11630449188715
2022,40.39796037296105,128.0877745986154
