Year,财政收入稳健指数,EPU
2004,30.37329836830122,145.6584473
2005,32.87724941725264,138.3749542
2006,35.381200466203154,78.30284119
2007,37.885151515154575,78.06318665
2008,43.44,84.93106842
2009,41.85,4.09842062
2010,44.42,250.4522247
2011,46.65,91.24639893
2012,48.82,104.23393669255802
2013,50.01,60.62467957
2014,54.79,278.5776672
2015,61.43,65.51696014
2016,63.86,57.20541382
2017,63.81,56.38425064
2018,66.56,94.4066977277771
2019,64.29,92.76882456698013
2020,70.43651515151669,91.13095140618316
2021,72.94046620046811,89.49307824538619
2022,75.44441724941862,87.85520508458967
