Year,财政收入稳健指数,EPU
2004,13.10550116550138,115.3940277
2005,13.275536130536352,77.85314178
2006,13.445571095571268,72.85709381
2007,13.61560606060624,55.56642151
2008,14.05,70.51135254
2009,12.49,61.40657425
2010,14.21,77.306427
2011,14.71,74.33851624
2012,12.67,101.5137939
2013,14.18,61.18065643
2014,16.96,98.84976959
2015,17.52,97.40991974
2016,15.75,110.0566711
2017,15.61,118.8451614
2018,15.12,69.20174200548809
2019,13.38,65.76475070378547
2020,15.82606060606065,62.32775940208194
2021,15.996095571095566,58.89076810037932
2022,16.166130536130538,55.4537767986767
