Year,财政收入稳健指数,EPU
2004,25.22713286713588,27.52583885
2005,27.911118881121183,37.15976715
2006,30.595104895107397,21.27755928
2007,33.27909090909361,31.08568382
2008,36.39,98.43864441
2009,34.56,127.9481888
2010,36.09,38.92484283
2011,41.08,52.18817902
2012,49.36,185.7209015
2013,50.96,199.3966522
2014,59.18,424.3791504
2015,65.68,318.3999634
2016,60.95,43.71399307
2017,55.67,47.75826263
2018,60.61,211.1698600578493
2019,58.17,223.11666875692026
2020,68.17090909090984,235.06347745599123
2021,70.85489510489606,247.0102861550622
2022,73.53888111888227,258.9570948541332
