Year,财政收入稳健指数,EPU
2004,9.968799533800848,74.86920929
2005,11.047785547787043,77.82217407
2006,12.126771561772784,72.08611298
2007,13.20575757575898,58.39957428
2008,16.3,102.2406158
2009,14.41,114.5904922
2010,12.6,89.0637207
2011,15.39,76.43569183
2012,18.75,91.71012115
2013,18.36,140.8329163
2014,24.85,123.6350174
2015,27.62,81.60664368
2016,26.17,113.8047638
2017,21.44,102.082283
2018,22.72,102.53867434052381
2019,24.02,102.86907268677783
2020,27.232575757576342,103.19947103303173
2021,28.311561771562083,103.52986937928574
2022,29.39054778554828,103.86026772553964
