Year,财政收入稳健指数,EPU
2004,17.865641025641935,132.0717316
2005,18.569871794872597,148.7640839
2006,19.27410256410326,74.92456818
2007,19.97833333333415,63.2591362
2008,24.06,89.50650787
2009,21.59,99.23101807
2010,19.28,87.78642273
2011,21.6,90.98365784
2012,22.76,120.4843903
2013,21.78,103.4998016
2014,26.55,76.30929565
2015,28.36,78.68138885
2016,26.29,115.6779938
2017,24.92,79.15668488
2018,28.2,90.16745369575256
2019,29.28,89.32752380594889
2020,29.13333333333344,88.48759391614499
2021,29.83756410256433,87.64766402634132
2022,30.54179487179499,86.80773413653742
