Year,财政收入稳健指数,EPU
2004,14.60709790209819,164.791275
2005,14.830034965035281,152.197525
2006,15.052972027972316,78.92781067
2007,15.275909090909352,64.94090271
2008,16.19,52.85719299
2009,15.31,70.60486603
2010,14.31,47.53650665
2011,15.18,57.54519272
2012,15.53,92.1633606
2013,16.2,2.284571648
2014,18.9,51.023097339861124
2015,21.08,49.02112579
2016,18.68,86.23591614
2017,16.57,96.05151367
2018,16.64,12.142036417015333
2019,16.11,2.421771186302067
2020,18.174090909090864,-7.298494044407562
2021,18.397027972027956,-17.01875927512083
2022,18.61996503496499,-26.739024505830457
