Year,财政收入稳健指数,EPU
2004,27.00898601398876,80.59560394
2005,29.653566433568812,78.13176727
2006,32.298146853149774,49.00043488
2007,34.942727272729826,59.81341171
2008,42.69,65.10385132
2009,36.16,328.5074768
2010,35.76,249.1297455
2011,43.68,107.2072601
2012,51.8,84.37910461
2013,48.17,110.6505051
2014,57.83,81.46524048
2015,63.26,50.63684082
2016,62.02,90.4801178
2017,58.32,97.14289093
2018,63.59,125.23478053222425
2019,62.31,128.03087600748768
2020,69.32227272727323,130.8269714827511
2021,71.96685314685419,133.62306695801362
2022,74.61143356643424,136.41916243327705
