Year,财政收入稳健指数,EPU
2004,17.10512820512986,177.8941193
2005,19.123974358976284,182.5282288
2006,21.142820512822254,108.3903732
2007,23.161666666668225,82.35511017
2008,20.25,62.01593399
2009,24.14,69.94200134
2010,30.53,66.85314941
2011,33.52,87.32746887
2012,32.47,137.9166565
2013,37.75,104.4575119
2014,43.04,104.1060638
2015,44.15,76.61567688
2016,40.84,87.72315216
2017,42.91,57.19842529
2018,45.05,62.31968398065874
2019,40.76,57.24493830560277
2020,49.406666666668116,52.17019263054863
2021,51.425512820514086,47.09544695549266
2022,53.44435897436006,42.020701280438516
