Year,财政收入稳健指数,EPU
2004,13.654557109558482,100.6415558
2005,14.531270396271793,83.63594818
2006,15.407983682984877,98.56306458
2007,16.28469696969819,46.57546234
2008,18.71,83.23725891
2009,18.95,61.8845253
2010,14.85,83.73143768
2011,15.44,92.18626404
2012,21.22,120.372139
2013,20.81,97.28448486
2014,25.93,76.98989868
2015,28.04,103.7787781
2016,27.73,139.5249634
2017,25.29,99.25975037
2018,24.07,94.68513664241902
2019,22.76,94.21471877752754
2020,27.681969696970327,93.74430091263605
2021,28.55868298368364,93.27388304774445
2022,29.435396270396723,92.80346518285296
