Year,财政收入稳健指数,EPU
2004,10.718240093240524,129.02948
2005,11.1354428904433,148.2594757
2006,11.552645687646077,69.90110016
2007,11.969848484848853,44.55746841
2008,14.0,44.22720337
2009,15.42,61.79263306
2010,11.63,47.93385315
2011,9.31,50.18350983
2012,13.21,89.07274628
2013,13.53,127.3790665
2014,16.22,110.1933746
2015,16.79,78.95990753
2016,15.65,58.70393753
2017,17.4,54.22574615
2018,18.32,36.693974043851995
2019,14.7,29.92391811414018
2020,17.393484848484945,23.153862184428363
2021,17.81068764568772,16.383806254718365
2022,18.227890442890498,9.61375032500655
