Year,财政收入稳健指数,EPU
2004,7.525221445223451,96.68829346
2005,8.736864801866886,95.51115417
2006,9.948508158510322,102.9588089
2007,11.160151515153302,63.53619766
2008,13.03,65.8716507
2009,13.14,79.96876526
2010,12.75,96.85956573
2011,10.23,71.07035065
2012,18.63,97.91391754
2013,19.34,81.2922287
2014,24.08,120.1068954
2015,25.58,110.9888763
2016,23.55,171.2811279
2017,23.63,137.8933868
2018,24.7,115.4078538306544
2019,19.77,116.91219341347187
2020,26.911515151516596,118.41653299628933
2021,28.12315850816003,119.92087257910634
2022,29.334801864803012,121.42521216192381
