Year,财政收入稳健指数,EPU
2004,25.46495337995566,63.62929535
2005,26.533554778556663,113.7616425
2006,27.602156177158122,104.9783478
2007,28.67075757575958,86.16218567
2008,31.99,90.40479279
2009,27.35,76.02841187
2010,25.11,56.08446884
2011,30.77,78.75894928
2012,35.77,88.49289703
2013,36.87,89.28373718
2014,42.85,78.43706512
2015,43.82,92.85424042
2016,41.84,94.90132904
2017,37.45,160.7241058
2018,38.79,88.30829945366031
2019,34.79,87.01167123340247
2020,42.562575757576724,85.71504301314462
2021,43.63117715617818,84.41841479288678
2022,44.699778554779186,83.12178657262893
