Year,财政收入稳健指数,EPU
2004,13.635081585083753,36.43266296
2005,15.822529137531092,102.3633575
2006,18.00997668997843,73.32458496
2007,20.197424242426678,82.36413574
2008,16.66,108.65734164371497
2009,15.79,19.65564537
2010,24.58,34.93079376
2011,37.13,136.7898865
2012,42.04,163.0070801
2013,38.41,224.8950348
2014,38.21,173.5859222
2015,38.36,157.2432404
2016,35.43,77.44787598
2017,40.19,163.8305817
2018,43.32,150.68264030407227
2019,42.87,154.88517017010963
2020,48.634242424243894,159.08770003614518
2021,50.82168997669123,163.29022990218073
2022,53.00913752913948,167.49275976821627
