Year,财政收入稳健指数,EPU
2004,19.418857808857886,160.2682037
2005,19.44459207459215,165.9200134
2006,19.47032634032641,71.96125793
2007,19.496060606060666,95.13724518
2008,19.32,72.76329041
2009,20.85,89.14916229
2010,19.48,76.35639191
2011,17.4,57.48607254
2012,16.68,111.5642242
2013,18.06,88.14046478
2014,22.81,74.59074402
2015,23.71,103.477417
2016,21.36,99.06858063
2017,19.69,90.86172485
2018,21.09,47.9270329735009
2019,15.51,40.48216232685445
2020,19.83060606060603,33.037291680208
2021,19.856340326340288,25.59242103356155
2022,19.882074592074545,18.1475503869151
