Year,财政收入稳健指数,EPU
2004,10.329930069932288,79.76878357
2005,12.072832167834349,110.1093445
2006,13.81573426573641,67.35923767
2007,15.55863636363847,87.61807251
2008,15.6,86.53533936
2009,17.44,115.6586685
2010,18.28,98.95934296
2011,23.44,91.25101471
2012,23.81,111.027298
2013,24.65,85.65671539
2014,32.49,100.6342392
2015,36.33,97.9871521
2016,36.11,95.28406525
2017,31.52,107.0997543
2018,33.59,89.15660180124041
2019,29.39,87.89537856078641
2020,38.216363636364804,86.63415532033196
2021,39.959265734266864,85.37293207987796
2022,41.702167832168925,84.11170883942395
