Year,财政收入稳健指数,EPU
2004,20.618916083917156,112.9485931
2005,21.636398601399833,97.26610565
2006,22.653881118882282,58.72007751
2007,23.67136363636473,71.16720581
2008,24.54,93.37413025
2009,24.78,83.76361847
2010,27.5,105.7024307
2011,27.54,77.58244324
2012,29.7,149.3513489
2013,30.1,129.648819
2014,31.1,31.16792297
2015,31.94,103.8978271
2016,30.05,68.45171356
2017,34.67,99.39268494
2018,36.5,74.17677900529088
2019,35.0,71.24247197426939
2020,36.89863636363725,68.3081649432479
2021,37.91611888111993,65.3738579122255
2022,38.93360139860215,62.43955088120401
