Year,财政收入稳健指数,EPU
2004,24.9937645687653,115.9315643
2005,25.591701631702335,162.9694366
2006,26.18963869463937,88.09978485
2007,26.787575757576406,63.04919434
2008,27.11,72.51725006
2009,23.09,78.755867
2010,26.32,41.71875
2011,27.94,67.68321991
2012,31.95,97.36244965
2013,33.77,64.3587265
2014,34.96,115.631897
2015,37.48,91.07539368
2016,33.58,86.53347778
2017,32.64,79.26584625
2018,32.47,58.38237154417948
2019,26.78,53.959168077368304
2020,34.56075757575786,49.53596461055713
2021,35.1586946386949,45.112761143745956
2022,35.75663170163193,40.68955767693478
