Year,财政收入稳健指数,EPU
2004,14.110780885782333,111.9169388
2005,15.139207459209047,108.1655502
2006,16.167634032635306,70.32796478
2007,17.19606060606202,91.75671387
2008,21.15,89.4747467
2009,18.12,124.6998215
2010,19.21,76.00546265
2011,19.58,73.35341644
2012,22.73,75.04206085
2013,23.36,125.5699539
2014,24.28,167.0654907
2015,26.85,139.742157
2016,25.67,81.40262604
2017,25.72,7.519604683
2018,29.17,83.10730278642723
2019,30.73,81.23385820499152
2020,30.56560606060657,79.36041362355581
2021,31.594032634033283,77.48696904212011
2022,32.62245920746,75.61352446068395
